UIC|0491131|0491131|491131|||OBB
UIC|0491132|0491132|491132|||OBB
UIC|0491133|0491133|491133|||OBB
UIC|0491134|0491134|491134|||OBB
UIC|0491135|0491135|491135|||OBB
UIC|0491136|0491136|491136|||OBB
UIC|0491137|0491137|491137|||OBB
UIC|0491138|0491138|491138|||OBB
UIC|0491139|0491139|491139|||OBB
UIC|0491140|0491140|491140|||OBB
UIC|0491141|0491141|491141|||OBB
UIC|0491142|0491142|491142|||OBB
UIC|0491143|0491143|491143|||OBB
UIC|0491144|0491144|491144|||OBB
UIC|0491145|0491145|491145|||OBB
UIC|0491146|0491146|491146|||OBB
UIC|0491147|0491147|491147|||OBB
UIC|0491148|0491148|491148|||OBB
UIC|0491149|0491149|491149|||OBB
UIC|0491150|0491150|491150|||OBB
UIC|0491151|0491151|491151|||OBB
UIC|0491152|0491152|491152|||OBB
UIC|0491153|0491153|491153|||OBB
UIC|0491154|0491154|491154|||OBB
UIC|0491155|0491155|491155|||OBB
UIC|0491156|0491156|491156|||OBB
UIC|0491157|0491157|491157|||OBB
UIC|0491158|0491158|491158|||OBB
UIC|0491159|0491159|491159|||OBB
UIC|0491160|0491160|491160|||OBB
UIC|0491161|0491161|491161|||OBB
UIC|0491162|0491162|491162|||OBB
UIC|0491163|0491163|491163|||OBB
UIC|0491164|0491164|491164|||OBB
UIC|0491165|0491165|491165|||OBB
UIC|0491166|0491166|491166|||OBB
UIC|0491167|0491167|491167|||OBB
UIC|0491168|0491168|491168|||OBB
UIC|0491169|0491169|491169|||OBB
UIC|0491170|0491170|491170|||OBB
UIC|0491171|0491171|491171|||OBB
UIC|0491172|0491172|491172|||OBB
UIC|0491173|0491173|491173|||OBB
UIC|0491174|04G0002|491174|||OBB
UIC|0491175|0491175|491175|||OBB
UIC|0491176|0491176|491176|||OBB
UIC|0491177|04G0003|491177|||OBB
UIC|0491178|0491178|491178|||OBB
UIC|0491179|0491179|491179|||OBB
UIC|0491180|0491180|491180|||OBB
UIC|0491181|0491181|491181|||OBB
UIC|0491182|0491182|491182|||OBB
UIC|0491183|0491183|491183|||OBB
UIC|0491184|0491184|491184|||OBB
UIC|0491185|0491185|491185|||OBB
UIC|0491186|0491186|491186|||OBB
UIC|0491187|0491187|491187|||OBB
UIC|0491188|0491188|491188|||OBB
