ATMOH|MOENCHHOF HALTESTELLE|8103023|N|J
CHADR|HOHTENN|8592641|J|N
CHAEO|AUSSERBERG|8532785|J|N
CHAER|GORDOLA|8584473|J|N
CHAET|S. ANTONINO|8522642|J|N
CHAMP|AMBRE-PIOTTA|8555204|J|N
CHBTG|BOLTIGEN|8526473|J|N
CHEGB|EGGERBERG|8547513|J|N
CHGLA|GLAND|8583593|J|N
CHLAL|LALDEN|8541433|J|N
CHMTM|MONTMOLLIN-MONTEZILL|8576802|J|N
CHQUA|QUARTINO|8553762|J|N
CZBRN|BRNO-ZIDENICE|5443722|J|N
CZCRV|CERVENKA|5486282|J|N
CZZDM|ZDAR NAD METUJI|5453810|J|N
DEADC|AULENDORF|490001|J|N
DEAVE|RAVENSBURG|492865|J|N
DEBDM|BAD DUERKHEIM|518079|J|N
DEBHD|BAHNHOF, BADEN-BADEN|723537|J|N
DECZL|CRANZAHL|8006433|N|J
DEHBB|HAUENEBERSTEIN BAHNHOF BADEN-BADEN|365110|J|N
DELRR|LEER(OSTFRIESL) ZOB|601659|J|N
DERAB|BAHNHOF, RASTATT|723656|J|N
DEWIH|WILKAU-HASSLAU|8006652|N|J
DEWNE|BAHNHOF WEENER|601680|J|N
DEWOC|WOLFACH|815488|J|N
DEWOC|WOLFACH|815488|J|N
ESAFX|MATARO|7179500|J|N
ESAGX|PINEDA|7179604|J|N
ESBLA|BLANES|7179606|J|N
ESCLL|CALELLA|7179603|J|N
ITAKZ|PISA S.ROSSORE|8388521|J|N
RUAKU|AKUR|2049712|J|N
RUARS|ARSENTEVKA|2040046|J|N
RUASI|ASINO|2089080|J|N
RUBAL|BALAGACHEVO|2086760|J|N
RUDOI|DOLINSK|2069646|J|N
RUGUK|GURSKOE|2040832|J|N
RUITT|ITATKA|2094760|J|N
RUKDA|KARDAIL|2041871|J|N
RUKEN|KENADA|2061712|J|N
RUKND|KONDOMA|2078246|J|N
RUKTL|KARTEL|2064832|J|N
RUKTO|KOTO|2080032|J|N
RUKUD|KUENDAT|2097080|J|N
RUKUN|KUN|2091232|J|N
RUMAK|MAKAROV|2030446|J|N
RUNIO|NIKOLSKOE|2074271|J|N
RUNOG|NOGLIKI|2032046|J|N
RUNOV|NOVOALEKSANDROVKA|2053646|J|N
RUONO|ONOR|2071246|J|N
RUPAE|PALEVO|2079246|J|N
RUPIV|PIVAN|2047232|J|N
RUROD|RODNICHEK|2064752|J|N
RUSLV|SLAVA|2024046|J|N
RUSND|SANDJIK|2045960|J|N
RUSOK|SOKOL|2061646|J|N
RUTMK|TOMSK 2|2094246|J|N
RUTMN|TUMNIN|2031312|J|N
RUTUG|TUGAN|2041080|J|N
RUTUM|TUMANOVO|2038446|J|N
RUTUU|TULUCHI|2032832|J|N
RUUKT|UKTUR|2039312|J|N
RUUSR|UST-OROCHI|2047312|J|N
RUVAN|VANINO|2065712|J|N
RUVZM|VZMORE|2085646|J|N
UATOK|TOK|2296928|J|N
