BNE|UIC|5101040|5101040|Kętrzyn|Kętrzyn|29|CET|540419N|212321E|||||PL||||||1
BNE|UIC|5101090|5101090|Moršg|Moršg|29|CET|535507N|195519E|||||PL||||||1
BNE|UIC|5100140|5100140|Goleniów|Goleniów|29|CET|533334N|145023E|||||PL||||||1
BNE|UIC|5100156|5100156|Wysoka Kamieńska|Wysoka Kamieńska|29|CET|534929N|144957E|||||PL||||||1
BNE|UIC|5100165|5100165|Kamień Pomorski|Kamień Pomorski|29|CET|535758N|144626E|||||PL||||||1
BNE|UIC|5100195|5100195|Płoty|Płoty|29|CET|534818N|151548E|||||PL||||||1
BNE|UIC|5100214|5100214|Trzebiatów|Trzebiatów|29|CET|540331N|151636E|||||PL||||||1
BNE|UIC|5100220|5100220|Stargard Szcz.|Stargard Szcz.|29|CET|532023N|150154E|||||PL||||||1
BNE|UIC|5100330|5100330|Złocieniec|Złocieniec|29|CET|533140N|160106E|||||PL||||||1
BNE|UIC|5100333|5100333|Drawsko Pomorskie|Drawsko Pomorskie|29|CET|533124N|154929E|||||PL||||||1
BNE|UIC|5100350|5100350|Łobez|Łobez|29|CET|533812N|153740E|||||PL||||||1
BNE|UIC|5100363|5100363|widwin|widwin|29|CET|534652N|154621E|||||PL||||||1
BNE|UIC|5104172|8009855|Forst(Gr)|Forst(Gr)|17|CET|514410N|143942E|||||DE||||||1
BNE|UIC|5100020|5100020|Szczecin Gumieńce|Szczecin Gumieńce|29|CET|532351N|142941E|||||PL||||||1
BNE|UIC|5100022|8009850|Grambow(Gr)|Grambow(Gr)|17|CET|532456N|142224E|||||DE||||||1
BNE|UIC|5100023|8009851|Tantow(Gr)|Tantow(Gr)|17|CET|531932N|142452E|||||DE||||||1
BNE|UIC|5104200|5104200|Nowa Sól|Nowa Sól|29|CET|514758N|154229E|||||PL||||||1
BNE|UIC|5104220|5104220|Głogów|Głogów|29|CET|514008N|160446E|||||PL||||||1
BNE|UIC|5104340|5104340|Kocian|Kocian|29|CET|520444N|163830E|||||PL||||||1
BNE|UIC|5104136|5104136|Bieniów|Bieniów|29|CET|514258N|151043E|||||PL||||||1
BNE|UIC|5104155|5104155|Żary|Żary|29|CET|513805N|150813E|||||PL||||||1
BNE|UIC|5103990|5103990|Łuków|Łuków|29|CET|515630N|222320E|||||PL||||||1
BNE|UIC|5104054|2121514|Brest(Gr)|Brest(Gr)|29|CET|520556N|234025E|||||BY||||||1
BNE|UIC|5104060|5104060|Małaszewicze|Małaszewicze|29|CET|520135N|233147E|||||PL||||||1
BNE|UIC|5104080|5104080|Biała Podlaska|Biała Podlaska|29|CET|520113N|230750E|||||PL||||||1
BNE|UIC|5104083|5104083|Międzyrzec Podlaski|Międzyrzec Podlaski|29|CET|515834N|224707E|||||PL||||||1
BNE|UIC|5104120|5104120|Żagań|Żagań|29|CET|513615N|151856E|||||PL||||||1
BNE|UIC|5101303|5101303|Kostrzyn(Gr)|Kostrzyn(Gr)|17|CET|523440N|143821E|||||PL||||||1
BNE|UIC|5101390|5101390|Gorzów Wlkp.|Gorzów Wlkp.|29|CET|524339N|151345E|||||PL||||||1
BNE|UIC|5101430|5101430|Strzelce Kraj.Wsch.|Strzelce Kraj.Wsch.|29|CET|525004N|153507E|||||PL||||||1
BNE|UIC|5101440|5101440|Piła Gł.|Piła Gł.|29|CET|530835N|164440E|||||PL||||||1
BNE|UIC|5101500|5101500|Kalisz Pomorski|Kalisz Pomorski|29|CET|531642N|155240E|||||PL||||||1
BNE|UIC|5103693|5103693|Ciechanów|Ciechanów|29|CET|525300N|203529E|||||PL||||||1
BNE|UIC|5103744|5103744|Warszawa Wileńska|Warszawa Wileńska|29|CET|521519N|210214E|||||PL||||||1
BNE|UIC|5103750|5103750|Tłuszcz|Tłuszcz|29|CET|522550N|212604E|||||PL||||||1
BNE|UIC|5103791|5103791|Łochów|Łochów|29|CET|523202N|214115E|||||PL||||||1
BNE|UIC|5103830|5103830|Małkinia|Małkinia|29|CET|524137N|220200E|||||PL||||||1
BNE|UIC|5103865|5103865|Warszawa Wschodnia|Warszawa Wschodnia|29|CET|521505N|210308E|||||PL||||||1
BNE|UIC|5103900|5103900|Mińsk Mazowiecki|Mińsk Mazowiecki|29|CET|521032N|213310E|||||PL||||||1
BNE|UIC|5101260|5101260|Giżycko|Giżycko|29|CET|540153N|214640E|||||PL||||||1
BNE|UIC|5101280|5101280|Suwałki|Suwałki|29|CET|540622N|225642E|||||PL||||||1
BNE|UIC|5101296|5101296|Augustów|Augustów|29|CET|535109N|230135E|||||PL||||||1
BNE|UIC|5103319|5103319|Koło|Koło|29|CET|521241N|183754E|||||PL||||||1
BNE|UIC|5103350|5103350|Warszawa Zachodnia|Warszawa Zachodnia|29|CET|521311N|205754E|||||PL||||||1
BNE|UIC|5103360|5103360|Warszawa Centralna|Warszawa Centralna|29|CET|521343N|210011E|||||PL||||||1
BNE|UIC|5102918|5102918|Dobiegniew|Dobiegniew|29|CET|525805N|154450E|||||PL||||||1
BNE|UIC|5103610|5103610|Warszawa Gdańska|Warszawa Gdańska|29|CET|521533N|205937E|||||PL||||||1
BNE|UIC|5103650|5103650|Legionowo|Legionowo|29|CET|522403N|205629E|||||PL||||||1
BNE|UIC|5100750|5100750|Gdańsk Gł.|Gdańsk Gł.|29|CET|542119N|183837E|||||PL||||||1
BNE|UIC|5100815|5100815|Elblšg|Elblšg|29|CET|540903N|192459E|||||PL||||||1
BNE|UIC|5100860|5100860|Starogard Gdański|Starogard Gdański|29|CET|535837N|183132E|||||PL||||||1
