8282250-UIC|82G0014
2046119-UIC|20G0088
5686786-UIC|56G0035
8040555-UIC|80G0580
8175477-UIC|81G0115
5688378-UIC|56G0034
8055426-UIC|80G0642
8172178-UIC|81G0600
732840-UIC|73G0013
509964-UIC|50G0025
8040410-UIC|80G0593
706387-UIC|70G0129
8089066-UIC|80G0564
8174049-UIC|81G0100
8171058-UIC|81G0096
8821006-UIC|88G0009
8079756-UIC|80G0635
2236750-UIC|22G0060
8074108-UIC|80G0618
5465890-UIC|54G0126
8040434-UIC|80G0657
491747-UIC|49G0004
8079718-UIC|80G0578
8074109-UIC|80G0656
8079764-UIC|80G0638
5108411-UIC|51G0150
499622-UIC|49G0006
8450746-UIC|84G0116
2094832-UIC|20G0084
491745-UIC|49G0005
5434042-UIC|54G0130
8179206-UIC|81G0117
421586-UIC|42G0004
2029064-UIC|20G0077
5152768-UIC|51G0158
505742-UIC|50G0019
505809-UIC|50G0020
8718101-UIC|87G0871
8587790-UIC|85G0134
833464-UIC|83G0428
5108278-UIC|51G0159
502517-UIC|50G0028
8175482-UIC|81G0097
7551609-UIC|75G0016
509365-UIC|50G0017
8040415-UIC|80G0637
8040438-UIC|80G0592
8040411-UIC|80G0595
8079773-UIC|80G0649
8557363-UIC|85G0127
8079736-UIC|80G0606
8174063-UIC|81G0604
8040422-UIC|80G0587
8040448-UIC|80G0658
8040445-UIC|80G0598
8040418-UIC|80G0643
2750706-UIC|27G0016
8250102-UIC|82G0016
5145120-UIC|51G0154
8399007-UIC|83G0422
8040468-UIC|80G0628
8079749-UIC|80G0626
8079726-UIC|80G0591
555680-UIC|55G0121
755843-UIC|75G0014
360175-UIC|36G0014
2090896-UIC|20G0076
364751-UIC|36G0022
8040432-UIC|80G0601
365110-UIC|36G0020
8040529-UIC|80G0614
8040414-UIC|80G0625
8040470-UIC|80G0647
8040465-UIC|80G0582
8040403-UIC|80G0597
2750701-UIC|27G0013
8040431-UIC|80G0596
364189-UIC|36G0019
8076133-UIC|80G0569
9109001-UIC|91G0004
504657-UIC|50G0033
8040443-UIC|80G0568
8079720-UIC|80G0581
8070785-UIC|80G0634
8182011-UIC|81G0602
