|CET||1||IT||Malpensa Aeroporto T2|Malpensa Aeroporto T2||||453901N|29|084311E|||||8320005|UIC
|CET||1||IT||Omegna, stazione|Omegna, Stazione||||455218N|29|082445E|||||8322066|UIC
|CET||1||IT||Omegna, Ospedale|Omegna, Ospedale||||455224N|29|082439E|||||8322067|UIC
|CET||1||IT||Omegna, via de Amicis|Omegna, Via De Amicis||||455235N|29|082439E|||||8322068|UIC
|CET||1||IT||Crusinallo, stazione|Crusinallo, Stazione||||455352N|29|082452E|||||8322023|UIC
|CET||1||IT||Pallanza, Tribunale|Pallanza, Tribunale||||455541N|29|083317E|||||8322072|UIC
|CET||1||IT||Gravellona Toce, via Sempione|Gravellona Toce, Via Sempione||||455544N|29|082554E|||||8322045|UIC
|CET||1||IT||Gravellona Toce, crociera|Gravellona Toce, Crociera||||455550N|29|082608E|||||8322043|UIC
|CET||1||IT||Gravellona Toce, bivio FS|Gravellona Toce, Bivio Fs||||455556N|29|082549E|||||8322044|UIC
|CET||1||IT||Verbania Intra, imb. Vecchio|Verbania Intra, Imb. Vecchio||||455609N|29|083431E|||||8322103|UIC
|CET||1||IT||Fondotoce (ex stab. Gewa)|Fondotoce (Ex Stab. Gewa)||||455645N|29|082924E|||||8322037|UIC
|CET||1||IT||Macugnaga, Pestarena|Macugnaga, Pestarena||||455733N|29|080045E|||||8322051|UIC
|CET||1||IT||Macugnaga, Borca|Macugnaga, Borca||||455746N|29|075906E|||||8322049|UIC
|CET||1||IT||Macugnaga, Staffa|Macugnaga, Staffa||||455805N|29|075803E|||||8322052|UIC
|CET||1||IT||Campioli|Campioli||||455810N|29|080245E|||||8322010|UIC
|CET||1||IT||Ceppo Morelli|Ceppo Morelli||||455815N|29|080411E|||||8322013|UIC
|CET||1||IT||Ornavasso, stazione|Ornavasso, Stazione||||455816N|29|082451E|||||8322070|UIC
|CET||1||IT||Macugnaga, Pecetto|Macugnaga, Pecetto||||455820N|29|075712E|||||8322050|UIC
|CET||1||IT||Vanzone|Vanzone||||455849N|29|080653E|||||8322101|UIC
|CET||1||IT||Migiandone Bivio|Migiandone Bivio||||455912N|29|082344E|||||8322058|UIC
|CET||1||IT||San Carlo|San Carlo||||455917N|29|080758E|||||8322093|UIC
|CET||1||IT||Anzola|Anzola||||455923N|29|082044E|||||8322002|UIC
|CET||1||IT||Anzola, Chiesa|Anzola, Chiesa||||455923N|29|082042E|||||8301069|UIC
|CET||1||IT||Pontegrande|Pontegrande||||455925N|29|080850E|||||8322081|UIC
|CET||1||IT||Megolo Mezzo|Megolo Mezzo||||455929N|29|081828E|||||8322057|UIC
|CET||1||IT||Rumianca|Rumianca||||455938N|29|081717E|||||8322092|UIC
|CET||1||IT||Valbianca|Valbianca||||455938N|29|080939E|||||8322099|UIC
|CET||1||IT||Cuzzago, bivio FS|Cuzzago, Bivio Fs||||455942N|29|082220E|||||8322024|UIC
|CET||1||IT||Vogogna/Piedimulera|Vogogna/Piedimulera||||460014N|29|081813E|||||8322114|UIC
|CET||1||IT||Molini|Molini||||460035N|29|081109E|||||8322061|UIC
|CET||1||IT||Pieve Vergonte, centro|Pieve Vergonte, Centro||||460035N|29|081550E|||||8322078|UIC
|CET||1||IT||Gozzi|Gozzi||||460108N|29|081430E|||||8322042|UIC
|CET||1||IT||Castiglione|Castiglione||||460114N|29|081253E|||||8322012|UIC
|CET||1||IT||Piedimulera, piazza Gramsci|Piedimulera, Piazza Gramsci||||460117N|29|081528E|||||8322077|UIC
|CET||1||IT||Vogogna, bivio FS|Vogogna, Bivio Fs||||460117N|29|081700E|||||8322113|UIC
|CET||1||IT||Piedimulera, stazione|Piedimulera, Stazione||||460127N|29|081539E|||||8322076|UIC
|CET||1||IT||Prata di Vogogna|Prata Di Vogogna||||460218N|29|081647E|||||8322084|UIC
|CET||1||IT||Pallanzeno, stazione|Pallanzeno, Stazione||||460234N|29|081537E|||||8322073|UIC
|CET||1||IT||Cuzzego di Cardezza|Cuzzego Di Cardezza||||460302N|29|081645E|||||8322025|UIC
|CET||1||IT||Villadossola, Via B. Novello|Villadossola, Via B. Novello||||460350N|29|081542E|||||8322111|UIC
|CET||1||IT||Villadossola, Corso Italia|Villadossola, Corso Italia||||460356N|29|081539E|||||8322106|UIC
|CET||1||IT||Villadossola, Corso Sempione|Villadossola, Corso Sempione||||460403N|29|081546E|||||8322109|UIC
|CET||1||IT||Villadossola, Bivio Gaggio|Villadossola, Bivio Gaggio||||460405N|29|081547E|||||8322105|UIC
|CET||1||IT||Villadossola, Villagio Sisma|Villadossola, Villagio Sisma||||460412N|29|081537E|||||8322112|UIC
|CET||1||IT||Villadossola, Stab Sisma|Villadossola, Stab Sisma||||460418N|29|081548E|||||8322110|UIC
|CET||1||IT||Beura Cardezza, centro|Beura Cardezza, Centro||||460444N|29|081757E|||||8322004|UIC
|CET||1||IT||Calice|Calice||||460529N|29|081649E|||||8322009|UIC
|CET||1||IT||Cosasca di Trontano|Cosasca Di Trontano||||460548N|29|081842E|||||8322015|UIC
|CET||1||IT||Domodossola, via Torino|Domodossola, Via Torino||||460631N|29|081746E|||||8322035|UIC
|CET||1||IT||Croppo di Trontano|Croppo Di Trontano||||460637N|29|081842E|||||8322021|UIC
|CET||1||IT||Domodossola, piazza Orsi Mose|Domodossola, Piazza Orsi Mose||||460641N|29|081734E|||||8322030|UIC
|CET||1||IT||Domodossola, piazza Repubblica|Domodossola, Piazza Repubblica||||460653N|29|081730E|||||8322031|UIC
|CET||1||IT||Domodossola, Ospedale|Domodossola, Ospedale||||460705N|29|081713E|||||8322029|UIC
|CET||1||IT||Domodossola, via Turati|Domodossola, Via Turati||||460715N|29|081720E|||||8322036|UIC
|CET||1||IT||Domodossola, via Scappacino|Domodossola, Via Scappacino||||460716N|29|081702E|||||8322034|UIC
|CET||1||IT||Domodossola, via di Vittorio|Domodossola, Via Di Vittorio||||460716N|29|081628E|||||8322032|UIC
|CET||1||IT||Gabbio|Gabbio||||460717N|29|081414E|||||8322040|UIC
|CET||1||IT||Bognanco, T. Villa Elda|Bognanco, T. Villa Elda||||460720N|29|081238E|||||8322005|UIC
|CET||1||IT||Domodossola, via Sant'Antonio|Domodossola, Via Sant'Antonio||||460720N|29|081726E|||||8322033|UIC
|CET||1||IT||Domodossola, Cappuccina|Domodossola, Cappuccina||||460723N|29|081722E|||||8322026|UIC
|CET||1||IT||Mocogna|Mocogna||||460725N|29|081630E|||||8322060|UIC
|CET||1||IT||Domodossola, Corso Cairoli 20|Domodossola, Corso Cairoli 20||||460730N|29|081729E|||||8322027|UIC
|CET||1||IT||San Lorenzo|San Lorenzo||||460736N|29|081200E|||||8322094|UIC
|CET||1||IT||Caddo|Caddo||||460802N|29|081710E|||||8322008|UIC
|CET||1||IT||Masera, Municipio|Masera, Municipio||||460812N|29|081934E|||||8322055|UIC
|CET||1||IT||Preglia di Crevoladossola|Preglia Di Crevoladossola||||460843N|29|081746E|||||8322086|UIC
|CET||1||IT||Pontetto di Montecrestese|Pontetto Di Montecrestese||||460901N|29|081851E|||||8322083|UIC
|CET||1||IT||Ponte di Crevola|Ponte Di Crevola||||460910N|29|081815E|||||8322079|UIC
|CET||1||IT||Roldo|Roldo||||460914N|29|081927E|||||8322091|UIC
|CET||1||IT||Crevoladossola|Crevoladossola||||460922N|29|081812E|||||8322017|UIC
|CET||1||IT||Giosio|Giosio||||460929N|29|081953E|||||8322041|UIC
|CET||1||IT||Naviledo|Naviledo||||460935N|29|082026E|||||8322064|UIC
|CET||1||IT||Montecrestese|Montecrestese||||460955N|29|081935E|||||8322062|UIC
|CET||1||IT||Altoggio|Altoggio||||461002N|29|082044E|||||8322000|UIC
|CET||1||IT||Nava|Nava||||461010N|29|082011E|||||8322063|UIC
|CET||1||IT||Oira|Oira||||461028N|29|081856E|||||8322065|UIC
|CET||1||IT||Pontemaglio|Pontemaglio||||461049N|29|081924E|||||8322082|UIC
|CET||1||IT||Varzo, stazione|Varzo, Stazione||||461223N|29|081443E|||||8322102|UIC
|CET||1||IT||Crodo, Bagni|Crodo, Bagni||||461251N|29|081916E|||||8322018|UIC
|CET||1||IT||Crodo, paese|Crodo, Paese||||461326N|29|081924E|||||8322019|UIC
|CET||1||IT||Miramonti|Miramonti||||461355N|29|081924E|||||8322059|UIC
|CET||1||IT||Baceno|Baceno||||461541N|29|081909E|||||8322003|UIC
|CET||1||IT||Premia (IT)|Premia (It)||||461602N|29|082009E|||||8322087|UIC
|CET||1||IT||Piedilago|Piedilago||||461644N|29|082109E|||||8322075|UIC
|CET||1||IT||Cadarese|Cadarese||||461752N|29|082145E|||||8322007|UIC
|CET||1||IT||San Rocco|San Rocco||||461810N|29|082202E|||||8322096|UIC
|CET||1||IT||Passo|Passo||||461854N|29|082253E|||||8322074|UIC
|CET||1||IT||Rivasco|Rivasco||||461939N|29|082328E|||||8322090|UIC
|CET||1||IT||Villa di Chiavenna, Dogana|Villa Di Chiavenna, Dogana||||461957N|29|093047E|||||8357035|UIC
|CET||1||IT||Foppiano|Foppiano||||462000N|29|082415E|||||8322039|UIC
|CET||1||IT||Fondovalle|Fondovalle||||462040N|29|082533E|||||8322038|UIC
|CET||1||IT||Chiesa (Val Formazza)|Chiesa (Val Formazza)||||462111N|29|082540E|||||8322014|UIC
|CET||1||IT||San Michele|San Michele||||462202N|29|082545E|||||8322095|UIC
|CET||1||IT||Valdo|Valdo||||462221N|29|082539E|||||8322100|UIC
|CET||1||IT||Ponte Formazza|Ponte Formazza||||462235N|29|082536E|||||8322080|UIC
|CET||1||IT||Cascate del Toce|Cascate Del Toce||||462433N|29|082442E|||||8322011|UIC
|CET||1||IT||Riale di Formezza|Riale Di Formezza||||462501N|29|082457E|||||8322089|UIC
|CET||1||AT||Thörl-Maglern  Bahnhof|Thorl-Maglern  Bahnhof||||463225N|29|133853E|||||8101675|UIC
|CET||1||AT||Ledenitzen West Bahnhst|Ledenitzen West Bahnhst||||463346N|29|135754E|||||8102149|UIC
|CET||1||HU||Kelenföld|Budapest-kelenfel'||||472751N|29|190113E|||||5500008|UIC
|CET||1||HU||Budapest-Keleti|Budapest keleti||||473001N|29|190506E|||||5500003|UIC
|CET||1||HU||GYÖR|Gyor||||474055N|26|173804E|||||5595509|UIC
|CET||1||HU||Györ-Gyarvaros|Gyor-Gyarvaros||||474105N|29|173943E|||||5500585|UIC
|CET||1||AT||Gmunden Schloss Weyer|Gmunden Schloss Weyer||||475455N|29|134840E|||||8151847|UIC
|CET||1||DE||Pfaffenhofen Gartenschau Türltorstraße|Pfaffenhofen Gartenschau Turltorstrasse||||483202N|29|113032E|||||8071743|UIC
|CET||1||DE||Graben-Neudorf Nord Polizei|Graben-Neudorf Nord Polizei||||491021N|29|082946E|||||8070888|UIC
|CET||1||DE||Rheinsheim Schule|Rheinsheim Schule||||491357N|29|082434E|||||8070890|UIC
|CET||1||DE||Grub(Oberpf)|Grub(Oberpf)||||492128N|29|124053E|||||8002436|UIC
|CET||1||DE||Nürnberg Plärrer|Nurnberg Plarrer||||492653N|29|110352E|||||8070724|UIC
|CET||1||DE||Pinzberg Eichenwaldstraße|Pinzberg Eichenwaldstrasse||||494136N|29|110624E|||||8071084|UIC
|CET||1||DE||Gosberg Kirche|Gosberg Kirche||||494215N|29|110655E|||||8071079|UIC
|CET||1||DE||Wiesenthau Bahnhof Ost|Wiesenthau Bahnhof Ost||||494249N|29|110738E|||||8071086|UIC
|CET||1||DE||Kirchehrenbach Mitte|Kirchehrenbach Mitte||||494402N|29|110846E|||||8071080|UIC
|CET||1||DE||Pretzfeld Am Backofen|Pretzfeld Am Backofen||||494518N|29|111024E|||||8071085|UIC
|CET||1||DE||Baunach Raiffeisenbank|Baunach Raiffeisenbank||||495912N|29|105102E|||||8070993|UIC
|CET||1||DE||Bad Orb Busbf|Bad Orb Busbf||||501345N|29|092050E|||||8089221|UIC
|CET||1||DE||Limburg(Lahn) Eisenbahnstraße|Limburg(Lahn) Eisenbahnstrasse||||502305N|29|080352E|||||8071534|UIC
|CET||1||DE||Staffel Ost|Staffel Ost||||502400N|29|080251E|||||8071537|UIC
|CET||1||DE||Elz Weberstraße Ost|Elz Weberstrasse Ost||||502437N|29|080155E|||||8074482|UIC
|CET||1||DE||Elz(Limburg/Lahn) Mitte|Elz(Limburg/Lahn) Mitte||||502445N|29|080209E|||||8071536|UIC
|CET||1||DE||Niedererbach Bus|Niedererbach Bus||||502534N|29|075839E|||||8074481|UIC
|CET||1||DE||Niederhadamar Süd|Niederhadamar Sud||||502558N|29|080201E|||||8071535|UIC
|CET||1||DE||Hadamar Stadtmitte|Hadamar Stadtmitte||||502649N|29|080243E|||||8071533|UIC
|CET||1||DE||Dreikirchen Hauptstraße|Dreikirchen Hauptstrasse||||502651N|29|075727E|||||8074480|UIC
|CET||1||DE||Girod Bus|Girod Bus||||502704N|29|075440E|||||8074478|UIC
|CET||1||DE||Steinefrenz Ort|Steinefrenz Ort||||502733N|29|075559E|||||8074479|UIC
|CET||1||DE||Wirges Union|Wirges Union||||502807N|29|074718E|||||8074344|UIC
|CET||1||DE||Niederzeuzheim Ortsmitte|Niederzeuzheim Ortsmitte||||502810N|29|080214E|||||8071532|UIC
|CET||1||DE||Ellefeld Alte Auerbacher Straße|Ellefeld Alte Auerbacher Strasse||||502920N|29|122253E|||||8072171|UIC
|CET||1||DE||Rodewisch Busbahnhof|Rodewisch Busbahnhof||||503148N|29|122410E|||||8070985|UIC
|CET||1||DE||Berzhahn Ortsmitte|Berzhahn Ortsmitte||||503218N|29|080018E|||||8071529|UIC
|CET||1||DE||Willmenrod Ortsmitte|Willmenrod Ortsmitte||||503224N|29|075846E|||||8071530|UIC
|CET||1||DE||Mehltheuer Leubnitzer Straße|Mehltheuer Leubnitzer Strasse||||503240N|29|120220E|||||8071528|UIC
|CET||1||DE||Limbach(Vogtl) Markt|Limbach (Vogtl) Markt||||503502N|29|121510E|||||8070845|UIC
|CET||1||DE||Niederschmiedeberg Heimatmuseum|Niederschmiedeberg Heimatmuseum||||503553N|29|130724E|||||8071527|UIC
|CET||1||DE||Großrückerswalde Bahnhäusel|Grossruckerswalde Bahnhausel||||503658N|29|130539E|||||8071526|UIC
|CET||1||DE||Reichenbach(Vogtl) Bus|Reichenbach(Vogtl) Bus||||503738N|29|121733E|||||8070204|UIC
