CITY_NAME	GENERIC_LOCATION_CODE	TIME_ZONE	STATUS_CODE	COUNTRY_CODE	DAYS_OF_WEEK_OF_OPERATION	DEFAULT_LONG_NAME	DEFAULT_SHORT_NAME	EMAIL	FAX_NUMBER	ADDRESS	LATITUDE	LOCATION_TYPE_CODE	LONGITUDE	MINIMUM_CONNECTION_TIME	PHONE_NUMBER	POSTAL_CODE	PROVINCE_STATE_CODE	DATA_OWNER	CODE_VALUE	CODE_CONTEXT
	425959	CET	1	DE		Niedernberger Str.,	Niedernberger Str.,				522949N	29	103058E					NVS	425959	UIC
	426095	CET	1	DE		Pollanten Nord, Berc	Pollanten Nord, Berc				490848N	29	112728E					NVS	426095	UIC
	437375	CET	1	DE		Rathaus, Uttenreuth	Rathaus, Uttenreuth				493547N	29	110346E					NVS	437375	UIC
	440715	CET	1	DE		Otto-Kaufmann-Str.,	Otto-Kaufmann-Str.,				505413N	29	073222E					NVS	440715	UIC
	8040133	CET	2	DE		Nümbrecht(Gem)	Nümbrecht(Gem)				505413N	29	073222E					NVS	8040133	UIC
	440837	CET	1	DE		Busbf, Lindlar	Busbf, Lindlar				510109N	29	072246E					NVS	440837	UIC
	8040130	CET	2	DE		Lindlar(Gem)	Lindlar(Gem)				510109N	29	072247E					NVS	8040130	UIC
	441551	CET	1	DE		Bergstr., Niederkass	Bergstr., Niederkass				504859N	29	070208E					NVS	441551	UIC
	8040157	CET	2	DE		Niederkassel(Gem)	Niederkassel(Gem)				504859N	29	070208E					NVS	8040157	UIC
	441658	CET	1	DE		Busbf, Morsbach	Busbf, Morsbach				505152N	29	074340E					NVS	441658	UIC
	8040132	CET	2	DE		Morsbach(Gem)	Morsbach(Gem)				505152N	29	074340E					NVS	8040132	UIC
	441800	CET	1	DE		Beuel Konrad-Adenaue	Beuel Konrad-Adenaue				504422N	29	070704E					NVS	441800	UIC
	8062099	CET	1	DE		Bonn Konrad-Adenauer	Bonn Konrad-Adenauer				504422N	29	070704E					NVS	8062099	UIC
	441898	CET	1	DE		Stadthaus, Lohmar	Stadthaus, Lohmar				505032N	29	071253E					NVS	441898	UIC
	8040153	CET	2	DE		Lohmar(Gem)	Lohmar(Gem)				505032N	29	071253E					NVS	8040153	UIC
	442597	CET	1	DE		Hangelar Mitte, Sank	Hangelar Mitte, Sank				504537N	29	070958E					NVS	442597	UIC
	442655	CET	1	DE		Staffelbach Bahnhof,	Staffelbach Bahnhof,				495644N	29	104454E					NVS	442655	UIC
	465764	CET	1	DE		Staffelbach Ortsmitt	Staffelbach Ortsmitt				495641N	29	104501E					NVS	465764	UIC
	442976	CET	1	DE		Alanus Hochschule, A	Alanus Hochschule, A				504435N	29	070103E					NVS	442976	UIC
	8040147	CET	2	DE		Alfter(Gem)	Alfter(Gem)				504435N	29	070103E					NVS	8040147	UIC
	443112	CET	1	DE		Zentrum, Sankt Augus	Zentrum, Sankt Augus				504636N	29	071117E					NVS	443112	UIC
	444313	CET	1	DE		Denkmal, Ruppichtero	Denkmal, Ruppichtero				505041N	29	072910E					NVS	444313	UIC
	8040159	CET	2	DE		Ruppichteroth(Gem)	Ruppichteroth(Gem)				505041N	29	072910E					NVS	8040159	UIC
	444518	CET	1	DE		Busbf., Waldbröl	Busbf., Waldbröl				505229N	29	073646E					NVS	444518	UIC
	8040136	CET	2	DE		Waldbröl(Gem)	Waldbröl(Gem)				505229N	29	073646E					NVS	8040136	UIC
	444670	CET	1	DE		Markt, Drolshagen	Markt, Drolshagen				510125N	29	074636E					NVS	444670	UIC
	8040356	CET	2	DE		Drolshagen(Gem)	Drolshagen(Gem)				510125N	29	074636E					NVS	8040356	UIC
	444837	CET	1	DE		Rathaus, Wiehl	Rathaus, Wiehl				505655N	29	073253E					NVS	444837	UIC
	8040137	CET	2	DE		Wiehl(Gem)	Wiehl(Gem)				505655N	29	073253E					NVS	8040137	UIC
	444859	CET	1	DE		Post, Much	Post, Much				505419N	29	072415E					NVS	444859	UIC
	8040155	CET	2	DE		Much(Gem)	Much(Gem)				505419N	29	072415E					NVS	8040155	UIC
	445249	CET	1	DE		Rathaus, Kürten	Rathaus, Kürten				510309N	29	071600E					NVS	445249	UIC
	8040141	CET	2	DE		Kürten(Gem)	Kürten(Gem)				510308N	29	071558E					NVS	8040141	UIC
	445366	CET	1	DE		Hermülheim, Hürth	Hermülheim, Hürth				505249N	29	065340E					NVS	445366	UIC
	8040101	CET	2	DE		Hürth(Gem)	Hürth(Gem)				505249N	29	065340E					NVS	8040101	UIC
	445373	CET	1	DE		Rathaus, Frechen	Rathaus, Frechen				505434N	29	064823E					NVS	445373	UIC
	8040100	CET	2	DE		Frechen(Gem)	Frechen(Gem)				505434N	29	064823E					NVS	8040100	UIC
	445559	CET	1	DE		Funkenhof, Odenthal	Funkenhof, Odenthal				510135N	29	070706E					NVS	445559	UIC
	8040143	CET	2	DE		Odenthal(Gem)	Odenthal(Gem)				510135N	29	070706E					NVS	8040143	UIC
	445581	CET	1	DE		Eckenhagen, Reichsho	Eckenhagen, Reichsho				505915N	29	074124E					NVS	445581	UIC
	449447	CET	1	DE		Bad Fredeburg Sparka	Bad Fredeburg Sparka				511123N	29	081840E					NVS	449447	UIC
	453527	CET	1	DE		Karlsthal Abzw., Ste	Karlsthal Abzw., Ste				492210N	29	074141E					NVS	453527	UIC
	455695	CET	1	DE		Mistelgau Ort	Mistelgau Ort				495443N	29	112759E					NVS	455695	UIC
	455927	CET	1	DE		Abzw. Bahnhof, Medar	Abzw. Bahnhof, Medar				531155N	29	103258E					NVS	455927	UIC
	486327	CET	1	DE		Abzw. Bahnhof, Odenb	Abzw. Bahnhof, Odenb				531155N	29	103258E					NVS	486327	UIC
	457295	CET	1	DE		Pittersdorf, Hummelt	Pittersdorf, Hummelt				495333N	29	113030E					NVS	457295	UIC
	458161	CET	1	DE		Busbf, Hellenthal	Busbf, Hellenthal				502926N	29	062633E					NVS	458161	UIC
	8040109	CET	2	DE		Hellenthal(Gem)	Hellenthal(Gem)				502926N	29	062633E					NVS	8040109	UIC
	459560	CET	1	DE		Berkum EKZ, Wachtber	Berkum EKZ, Wachtber				503719N	29	070731E					NVS	459560	UIC
	8040164	CET	2	DE		Wachtberg(Gem)	Wachtberg(Gem)				503719N	29	070731E					NVS	8040164	UIC
	459695	CET	1	DE		Sengenthal Nord	Sengenthal Nord				491410N	29	112731E					NVS	459695	UIC
	460030	CET	1	DE		Ringstraße, Beilngri	Ringstraße, Beilngr				490202N	29	112818E					NVS	460030	UIC
	460179	CET	1	DE		Siedlung, Schnelldor	Siedlung, Schnelldor				491150N	29	101103E					NVS	460179	UIC
	460457	CET	1	DE		Walkmühlweg, Feuchtw	Walkmühlweg, Feucht				490930N	29	102012E					NVS	460457	UIC
	460722	CET	1	DE		Breslauer Str., Utte	Breslauer Str., Utte				493548N	29	110417E					NVS	460722	UIC
	460723	CET	1	DE		Marloffsteiner Str.,	Marloffsteiner Str.,				493549N	29	110430E					NVS	460723	UIC
	460724	CET	1	DE		Weiher, Uttenreuth	Weiher, Uttenreuth				493543N	29	110547E					NVS	460724	UIC
	80G0170	CET	2	DE		Uttenreuth	Uttenreuth				493543N	29	110547E					NVS	8006047	UIC
	460730	CET	1	DE		Busbahnhof, Neunkirc	Busbahnhof, Neunkirc				493639N	29	110747E					NVS	460730	UIC
	8004309	CET	2	DE		Neunkirchen a Brand	Neunkirchen a Brand				493639N	29	110747E					NVS	8004309	UIC
	460734	CET	1	DE		Eschenau Apotheke, E	Eschenau Apotheke, E				493428N	29	111138E					NVS	460734	UIC
	460862	CET	1	DE		Berufsschule, Herzog	Berufsschule, Herzog				493354N	29	105356E					NVS	460862	UIC
	461295	CET	1	DE		Bahnhof, Hollfeld	Bahnhof, Hollfeld				495602N	29	111742E					NVS	461295	UIC
	461375	CET	1	DE		Abzw. Wadendorf, Pla	Abzw. Wadendorf, Pla				495345N	29	111959E					NVS	461375	UIC
	80G0171	CET	2	DE		Wadendorf	Wadendorf				495345N	29	111959E					NVS	8006128	UIC
	461495	CET	1	DE		Rappersdorf Ortsmitt	Rappersdorf Ortsmitt				490741N	29	112700E					NVS	461495	UIC
	461551	CET	1	DE		Neumarkter Straße, B	Neumarkter Straße, 				480752N	29	113741E					NVS	461551	UIC
	461855	CET	1	DE		Marktplatz, Ebrach	Marktplatz, Ebrach				495051N	29	102933E					NVS	461855	UIC
	80G0151	CET	2	DE		Ebrach	Ebrach				495051N	29	102933E					NVS	8001642	UIC
	465295	CET	1	DE		Bahnhof, Plankenfels	Bahnhof, Plankenfels				495324N	29	112101E					NVS	465295	UIC
	466359	CET	1	DE		Bäckerei, Riedenberg	Bäckerei, Riedenber				501912N	29	095137E					NVS	466359	UIC
	467959	CET	1	DE		Fachklinik, Herzogen	Fachklinik, Herzogen				493435N	29	105213E					NVS	467959	UIC
	468255	CET	1	DE		Neumarkter Tor, Berc	Neumarkter Tor, Berc				490632N	29	112639E					NVS	468255	UIC
	468319	CET	1	DE		Lindenstr., Dombühl	Lindenstr., Dombühl				491509N	29	101734E					NVS	468319	UIC
