CITY_NAME|GENERIC_LOCATION_CODE|TIME_ZONE|STATUS_CODE|COUNTRY_CODE|DAYS_OF_WEEK_OF_OPERATION|DEFAULT_LONG_NAME|DEFAULT_SHORT_NAME|EMAIL|FAX_NUMBER|ADDRESS|LATITUDE|LOCATION_TYPE_CODE|LONGITUDE|MINIMUM_CONNECTION_TIME|PHONE_NUMBER|POSTAL_CODE|PROVINCE_STATE_CODE|DATA_OWNER|CODE_VALUE|CODE_CONTEXT
|71G0026|CET|1|ES||SEVILLE|SEVILLE||||402504N|26|034157W|||||FRR|711A011|RDS
|71G0027|CET|1|ES||TARRAGONA|TARRAGONA||||410641N|26|011511E|||||FRR|711A012|RDS
|71G0030|CET|1|ES||VALENCIA DE ALCANTAR|VALENCIA DE ALCANTAR||||392536N|26|071350W|||||FRR|711A013|RDS
|71G0034|CET|1|ES||ANTEQUERA|ANTEQUERA||||370125N|26|043345W|||||FRR|711A014|RDS
|71G0035|CET|1|ES||VALENCE VALENCIA|VALENCE VALENCIA||||392849N|26|002314W|||||FRR|711A015|RDS
|71G0036|CET|1|ES||GUADALAJARA|GUADALAJARA||||403839N|26|031056W|||||FRR|711A016|RDS
|71G0037|CET|1|ES||ST J COMPOSTELLE|ST J COMPOSTELLE||||425215N|26|083240W|||||FRR|711A017|RDS
|71G0038|CET|1|ES||BETANZOS-INFESTA|BETANZOS-INFESTA||||431614N|26|081333W|||||FRR|711A018|RDS
|71G0039|CET|1|ES||SEGOVIE/SEGOVIA|SEGOVIE/SEGOVIA||||405602N|26|040649W|||||FRR|711A019|RDS
|71G0040|CET|1|ES||VIGO|VIGO||||433349N|26|063743W|||||FRR|711A020|RDS
|71G0041|CET|1|ES||PUENTE GENIL|PUENTE GENIL||||375944N|26|010711W|||||FRR|711A021|RDS
|74G0018|CET|1|SE||VANERSBORGS|VANERSBORGS||||591632N|26|145551E|||||FRR|741A001|RDS
|74G0020|CET|1|SE||STOCKHOLM AEROPORT|STOCKHOLM AEROPORT||||592139N|26|175815E|||||FRR|741A002|RDS
|76G0011|CET|1|NO||OSLO|OSLO||||595410N|26|104436E|||||FRR|761A001|RDS
|79G0001|CET|1|SI||LJUTOMER|LJUTOMER||||463143N|26|161121E|||||FRR|791A001|RDS
|80G0028|CET|1|DE||FRANCFORT|FRANCFORT||||500709N|26|083824E|||||FRR|801A001|RDS
|80G0017|CET|1|DE||COLOGNE|COLOGNE||||504851N|26|070903E|||||FRR|801A002|RDS
|80G0050|CET|1|DE||MUNICH|MUNICH||||480823N|26|113317E|||||FRR|801A003|RDS
|8008094|CET|1|DE||DUESSELDORF|DUESSELDORF||||511312N|26|064734E|||||FRR|801A004|RDS
|80G0024|CET|1|DE||DUISBURG|DUISBURG||||512237N|26|064842E|||||FRR|801A005|RDS
|80G0026|CET|1|DE||ESSEN|ESSEN||||512625N|26|070117E|||||FRR|801A006|RDS
|80G0005|CET|1|DE||AIX LA CHAPELLE|AIX LA CHAPELLE||||505214N|26|060541E|||||FRR|801A007|RDS
|80G0013|CET|1|DE||BOCHUM|BOCHUM||||512845N|26|071324E|||||FRR|801A008|RDS
|8014008|CET|1|DE||MANNHEIM|MANNHEIM||||492848N|26|082810E|||||FRR|801A009|RDS
|80G0074|CET|1|DE||WUPPERTAL|WUPPERTAL||||511630N|26|071328E|||||FRR|801A010|RDS
|80G0022|CET|1|DE||DRESDE|DRESDE||||510356N|26|134425E|||||FRR|801A011|RDS
|80G0010|CET|1|DE||BERLIN|BERLIN||||523025N|26|131645E|||||FRR|801A012|RDS
|80G0012|CET|1|DE||BITBURG|BITBURG||||495955N|26|063415E|||||FRR|801A013|RDS
