CODE_VALUE|DEFAULT_LONG_NAME|DEFAULT_SHORT_NAME|LOCATION_TYPE_CODE|DATA_OWNER|GENERIC_LOCATION_CODE
801A028|HAMBOURG|HAMBOURG|26|FRR|80G0032
801A029|HEIDELBERG|HEIDELBERG|26|FRR|80G0034
801A030|HERSBRUCK|HERSBRUCK|26|FRR|80G0036
801A031|KASSEL|KASSEL|26|FRR|80G0039
801A032|KEHL|KEHL|26|FRR|80G0040
801A033|KREFELD|KREFELD|26|FRR|80G0041
801A034|KARLSRUHE|KARLSRUHE|26|FRR|8014228
801A035|CONSTANCE|CONSTANCE|26|FRR|80G0020
801A036|LIMBURG|LIMBURG|26|FRR|80G0044
801A037|LUBECK|LUBECK|26|FRR|80G0045
801A038|LEVERKUSEN|LEVERKUSEN|26|FRR|8001093
801A039|MITTENWALD|MITTENWALD|26|FRR|80G0048
801A040|FRIBOURG EN BRISGAU|FRIBOURG EN BRISGAU|26|FRR|80G0030
801A041|PFRONTEN|PFRONTEN|26|FRR|80G0059
801A042|PFORZHEIM|PFORZHEIM|26|FRR|80G0058
801A043|PUTTGARDEN|PUTTGARDEN|26|FRR|80G0061
801A044|ULM|ULM|26|FRR|80G0070
801A045|WUERZBURG|WUERZBURG|26|FRR|80G0073
801A046|BAD REICHENHALL|BAD REICHENHALL|26|FRR|80G0008
801A047|REMSCHEID|REMSCHEID|26|FRR|80G0063
801A048|SALZGITTER|SALZGITTER|26|FRR|8033859
801A049|SOLINGEN|SOLINGEN|26|FRR|80G0066
801A050|SULZBACH ROSENBERG|SULZBACH ROSENBERG|26|FRR|80G0069
801A051|STUTTGART|STUTTGART|26|FRR|8029034
801A052|SCHWEINFURT|SCHWEINFURT|26|FRR|80G0065
801A053|WIESBADEN|WIESBADEN|26|FRR|80G0071
801A054|POTSDAM|POTSDAM|26|FRR|80G0060
801A055|LANDAU|LANDAU|26|FRR|80G0075
801A056|FRANCFORT AEROPORT|FRANCFORT AEROPORT|26|FRR|80G0076
801A057|BRAUNSCHWEIG|BRAUNSCHWEIG|26|FRR|80G0077
801A058|LAUCHRINGEN|LAUCHRINGEN|26|FRR|80G0078
811A001|VILLACH|VILLACH|26|FRR|8103654
811A002|EBENSEE|EBENSEE|26|FRR|81G0006
811A003|INNSBRUCK|INNSBRUCK|26|FRR|81G0007
811A004|VIENNE|VIENNE|26|FRR|81G0015
811A005|LINZ|LINZ|26|FRR|81G0017
811A006|ST POELTEN|ST POELTEN|26|FRR|81G0018
811A007|BREGENZ|BREGENZ|26|FRR|81G0019
821A001|BETTEMBOURG|BETTEMBOURG|26|FRR|82G0001
821A002|RODANGE|RODANGE|26|FRR|82G0003
821A003|LUXEMBOURG|LUXEMBOURG|26|FRR|82G0002
831A001|GENES|GENES|26|FRR|83G0018
831A002|REGGIO DI CALABRIA|REGGIO DI CALABRIA|26|FRR|83G0040
831A003|MILAN|MILAN|26|FRR|8399002
831A005|NAPLES|NAPLES|26|FRR|8399005
831A006|TURIN|TURIN|26|FRR|83G0049
831A007|FLORENCE|FLORENCE|26|FRR|83G0017
831A008|RIMINI|RIMINI|26|FRR|8313516
831A009|BOLOGNE|BOLOGNE|26|FRR|831A009
831A010|VENISE|VENISE|26|FRR|83G0052
831A011|VERONE|VERONE|26|FRR|83G0053
831A012|BRINDISI|BRINDISI|26|FRR|83G0009
831A013|SESTO|SESTO|26|FRR|83G0044
831A014|MESSINE|MESSINE|26|FRR|83G0028
831A015|LIMONE|LIMONE|26|FRR|83G0026
831A016|CHIASSO|CHIASSO|26|FRR|831A016
831A017|DOMODOSSOLA|DOMODOSSOLA|26|FRR|831A017
831A018|ROME AEROPORT|ROME AEROPORT|26|FRR|83G0058
831A019|RHO|RHO|26|FRR|83G0059
831A020|CATANZARO|CATANZARO|26|FRR|831A020
841A001|AMSTERDAM|AMSTERDAM|26|FRR|84G0001
841A002|LA HAYE|LA HAYE|26|FRR|84G0005
841A003|ROTTERDAM|ROTTERDAM|26|FRR|84G0006
841A004|AMSTERDAM AEROPORT SCHIPHOL|AMSTERDAM AEROPORT S|26|FRR|84G0002
841A005|UTRECHT|UTRECHT|26|FRR|84G0007
851A001|ZURICH|ZURICH|26|FRR|85G0037
851A002|LES VERRIERES|LES VERRIERES|26|FRR|8504211
851A003|LAUSANNE|LAUSANNE|26|FRR|85G0000
851A004|VALLORBE|VALLORBE|26|FRR|8501103
851A005|INTERLAKEN|INTERLAKEN|26|FRR|85G0027
851A006|VERNAYAZ CH|VERNAYAZ CH|26|FRR|85G0036
851A007|DAVOS|DAVOS|26|FRR|8509078
851A008|GRANGES|GRANGES|26|FRR|8504122
851A009|LES MARECOTTES CH|LES MARECOTTES CH|26|FRR|85G0030
851A011|MARTIGNY CH|MARTIGNY CH|26|FRR|85G0031
851A012|NEUCHATEL|NEUCHATEL|26|FRR|85G0032
851A013|THOUNE THUN|THOUNE THUN|26|FRR|851A013
