ADDRESS	TIME_ZONE	CITY_NAME	STATUS_CODE	PROVINCE_STATE_CODE	COUNTRY_CODE	DAYS_OF_WEEK_OF_OPERATION	DAFAULT_LONG_NAME	DAFAULT_SHORT_NAME	EMAIL	FAX_NUMBER	GENERIC_LOCATION_CODE	LATITUDE	LOCATION_TYPE	LONGITUDE	MINIMUM_CONNECTION_TIME	PHONE_NUMBER	POSTAL_CODE	DATA_OWNER	CODE_VALUE	CODE_CONTEXT
	CET		1		DE		Bonn Konrad-Adenauer-Platz	Bonn Konrad-Adenauer			8070075	504421N	29	070704E				EVA	8070075	UIC
	CET		1		DE		Konstanz Marktstätte	Konstanz Marktstät			8071032	473936N	29	091038E				EVA	8071032	UIC
	CET		1		DE		Bredstedt Bahnhof	Bredstedt Bahnhof			80G0218	543716N	29	085812E				EVA	8071139	UIC
	CET		1		DE		Konstanz Sternenplatz	Konstanz Sternenpla			8071261	474003N	29	091046E				EVA	8071261	UIC
	CET		1		DE		Heilbronn Hauptbahnhof/Willy-Brandt-Pl.	Heilbronn Hauptbahnh			8070171	490833N	29	091230E				EVA	8070171	UIC
	CET		1		DE		Heilbronn Rathaus	Heilbronn Rathaus			8041790	490831N	29	091309E				EVA	8070173	UIC
	CET		1		DE		Emden Flugplatz	Emden Flugplatz			8070177	532325N	29	071340E				EVA	8070177	UIC
	CET		1		DE		Norddeich Flugplatz	Norddeich Flugplatz			8070178	533808N	29	071127E				EVA	8070178	UIC
	CET		1		DE		Nordstrand(b Husum)	Nordstrand(b Husum)			8042846	542950N	29	084827E				EVA	8070182	UIC
	CET		1		DE		Bonn Juridicum	Bonn Juridicum			8070196	504347N	29	070631E				EVA	8070196	UIC
	CET		1		DE		Konstanz Schweizer Bahnhof	Konstanz Schweizer 			8071489	473931N	29	091036E				EVA	8071489	UIC
	CET		1		DE		Berlin-Schöneweide (S)	Berlin-Schöneweide 			8003360	522718N	29	133033E				EVA	8089168	UIC
	CET		1		DE		Bonn Hbf (tief)	Bonn Hbf (tief)			8098044	504356N	29	070553E				EVA	8098044	UIC
	CET		1		DE		Friedrichshafen Hafen (Schiff)	Friedrichshafen Hafe			8072110	473901N	29	092900E				EVA	8072110	UIC
	CET		1		DE		Rhöndorf Bahnhof	Rhöndorf Bahnhof			80G0240	503927N	29	071235E				EVA	8075074	UIC
	CET		1		DE		Siegburg Bahnhof	Siegburg Bahnhof			80G0241	504737N	29	071211E				EVA	8075556	UIC
	CET		1		DE		Memmingen Bahnhof	Memmingen Bahnhof			80G0248	475905N	29	101111E				EVA	8089303	UIC
	CET		1		DE		Stolberg(Rheinl)Hbf Gl.44	Stolberg(Rheinl)Hbf 			8098349	504741N	29	061306E				EVA	8098349	UIC
	CET		1		DE		Nürnberg Flughafen	Nürnberg Flughafen			8070716	492938N	29	110443E				EVA	8070716	UIC
	CET		1		DE		Nürnberg Hbf(U-Bahn)	Nürnberg Hbf(U-Bahn			8070725	492650N	29	110457E				EVA	8070725	UIC
	CET		1		DE		Karlsruhe-Neureut Kirchfeld	Karlsruhe-Neureut Ki			8079047	490310N	29	082320E				EVA	8079047	UIC
	CET		1		DE		Bonn Bundesrechnungshof/Auswärtiges Amt	Bonn Bundesrechnungs			8070738	504332N	29	070642E				EVA	8070738	UIC
	CET		1		DE		Bonn Gronau Ollenhauerstraße	Bonn Gronau Ollenhau			8070743	504240N	29	070737E				EVA	8070743	UIC
	CET		1		DE		Bonn-Vilich-Rheindorf Adelheidisstr.	Bonn-Vilich-Rheindor			8070748	504450N	29	070731E				EVA	8070748	UIC
	CET		1		DE		Bonn-Limperich	Bonn-Limperich			8070752	504345N	29	070810E				EVA	8070752	UIC
	CET		1		DE		Bonn-Oberkassel Nord	Bonn-Oberkassel Nord			8070753	504259N	29	070955E				EVA	8070753	UIC
	CET		1		DE		Bonn-Plittersdorf Wurzerstr.	Bonn-Plittersdorf W			8070755	504129N	29	070854E				EVA	8070755	UIC
	CET		1		DE		Bonn Hochkreuz/Deutsches Museum Bonn	Bonn Hochkreuz/Deuts			8070757	504149N	29	070829E				EVA	8070757	UIC
	CET		1		DE		Königswinter-Oberdollendorf Nord	Königswinter-Oberdo			8070760	504209N	29	071045E				EVA	8070760	UIC
	CET		1		DE		Königswinter-Oberdollendorf	Königswinter-Oberdo			8070761	504146N	29	071105E				EVA	8070761	UIC
	CET		1		DE		St Augustin Ort	St Augustin Ort			8070767	504613N	29	071050E				EVA	8070766	UIC
	CET		1		DE		Heilbronn Finanzamt	Heilbronn Finanzamt			8070791	490826N	29	091406E				EVA	8070791	UIC
	CET		1		DE		Heilbronn Pfühlpark	Heilbronn Pfühlpark			8070793	490824N	29	091429E				EVA	8070793	UIC
	CET		1		DE		Bonn Heussallee/Museumsmeile	Bonn Heussallee/Muse			8070026	504300N	29	070714E				EVA	8070026	UIC
	CET		1		DE		Bad Honnef Stadtbahn	Bad Honnef Stadtbahn			8070073	503838N	29	071302E				EVA	8070073	UIC
	CET		1		DE		Neßmersiel Hafen	Neßmersiel Hafen			8058846	534100N	29	072137E				EVA	8070800	UIC
	CET		1		DE		Borkum Reede	Borkum Reede			8079115	533349N	29	064523E				EVA	8079115	UIC
	CET		1		DE		Karlsruhe-Kniel. Rheinbergstr.	Karlsruhe-Kniel. Rhe			8079128	490206N	29	082012E				EVA	8079128	UIC
