1000001,,102932
1000009,,106907
1000010,,116176
1000015,,205724
1000017,,220094
1000019,,245002
1000020,,245268
1000025,,310972
1000028,,311710
1000030,,313992
1000040,,355500
1000042,,355600
1000044,,360013
1000047,,366658
1000049,,372192
1000055,,401865
1000060,,406509
1000062,,407351
1000063,,413351
1000064,,413353
1000065,,413378
1000066,,416298
1000067,,420843
1000068,,420888
1000069,,420976
1000071,,421030
1000072,,421233
1000073,,421397
1000075,,421958
1000076,,425566
1000091,,425895
1000092,,428120
1000093,,442976
1000094,,443110
1000095,,443757
1000096,,465235
1000100,,467016
1000105,,490001
1000126,,490109
1000130,,490138
1000135,,490154
1000142,,490163
1000144,,491202
1000150,,491425
1000154,,492567
1000155,,492589
1000156,,492865
1000160,,493275
1000167,,493510
1000170,,493511
1000176,,493517
1000178,,493522
1000181,,493529
1000190,,494607
1000196,,499536
1000200,,499573
1000204,,499589
1000215,,499595
1000218,,499608
1000220,,499623
1000235,,499630
1000237,,499640
1000240,,499643
1000261,,500109
1000263,,500171
1000265,,500186
1000280,,500199
1000283,,500292
1000284,,500722
1000288,,500729
1000293,,500755
1000294,,500900
1000295,,501234
1000296,,501275
1000298,,501448
1000299,,501455
1000305,,501460
1000312,,501493
1000317,,501506
1000320,,501994
1000322,,502075
1000328,,502078
1000330,,502147
1000331,,502168
1000334,,502177
1000337,,502364
1000347,,502404
1000351,,502412
1000356,,502418
1000358,,502423
1000361,,502450
1000363,,502453
1000364,,502455
1000366,,502464
1000367,,502943
1000370,,503153
1000375,,503167
1000376,,503172
1000377,,503183
1000379,,503189
1000387,,503604
1000390,,503644
1000400,,504064
1000404,,504134
1000408,,504172
1000413,,504672
1000416,,507619
1000417,,507622
1000420,,508123
1000424,,508160
1000427,,509612
1000431,,509709
1000432,,510151
1000437,,510171
1000438,,510445
1000440,,510550
1000453,,510843
1000461,,511045
1000464,,512943
1000465,,513277
1000467,,514642
1000468,,518168
1000472,,518363
1000475,,518530
1000477,,518535
1000478,,518551
1000480,,518553
1000486,,518584
1000492,,542056
1000493,,542061
1000495,,544733
1000499,,555199
1000507,,555310
1000510,,555465
1000517,,555730
1000521,,555928
1000522,,557824
1000524,,561013
1000530,,561018
1000532,,561092
1000534,,561341
1000536,,561426
1000544,,561509
1000545,,561510
1000546,,561596
1000551,,561606
1000552,,561607
1000553,,570928
1000554,,570973
1000555,,571713
1000556,,572022
1000559,,590012
1000564,,594423
1000565,,601065
1000576,,601659
1000578,,601965
1000579,,602037
1000580,,602041
1000595,,606561
1000603,,608047
1000621,,623404
1000623,,626111
1000627,,627066
1000644,,627082
1000657,,659506
1000658,,662937
1000659,,676532
1000660,,676819
1000661,,682254
1000662,,682943
1000675,,683168
1000690,,696065
1000693,,697582
1000706,,699761
1000768,,700028
1000789,,704596
1000793,,707359
1000806,,712449
1000817,,720546
1000827,,720788
1000830,,723656
1000831,,723996
1000837,,724002
1000839,,724016
1000847,,750155
1000848,,750861
1000879,,751192
1000886,,751399
1000937,,751407
1000938,,751526
1000966,,751619
1000968,,784021
1000977,,800268
1000981,,800788
1001318,,801018
1002331,,801260
1033401,,801345
2001070,,801726
2001180,,801736
2001210,,801946
2001220,,808145
2001240,,808328
2001300,,810176
2001320,,810331
2001480,,815066
2001510,,815183
2001560,,815184
2001630,,815232
2001680,,818094
2001700,,825075
2001840,,828162
2002000,,828199
2002300,,828485
2002310,,828720
2002320,,830158
2002370,,833025
2002390,,833594
2002560,,833598
2002670,,833854
2002740,,871613
2002750,,871617
2002760,,877056
2002770,,877117
2003020,,877460
2003130,,882004
2003160,,882028
2003181,,882311
2003306,,882605
2003820,,882997
2003901,,895167
2003902,,900378
2004000,,902388
2004260,,902604
2004280,,907216
2004290,,908724
2004300,,908727
2004320,,915452
2004380,,940370
2004400,,940407
2004450,,952017
2004520,,965176
2004600,,965182
2004730,,965322
2004860,,965366
2004950,,965503
2004970,,965511
2005000,,965553
2005030,,965673
2005080,,965674
2005100,,965986
2005220,,966017
2005250,,970117
2005260,,990007
2005310,,990073
2005610,,990079
2005620,,990083
2005660,,990145
2005670,,990148
2005690,,8001091
2005700,,8003360
2005710,,8003785
2005720,,8004232
2005740,,8005873
2005800,,8007014
2005810,,8030747
2005830,,8041790
2005986,,8042846
2006007,,8058846
2006150,,8070026
2006300,,8070073
2006430,,8070075
2006440,,8070171
2006450,,8070177
2006470,,8070178
2006480,,8070196
2006530,,8070716
2006570,,8070725
2006600,,8070738
2006610,,8070743
2006640,,8070748
2006660,,8070752
2006710,,8070753
2006740,,8070755
2006830,,8070757
2006840,,8070760
2006850,,8070761
2006880,,8070766
2006910,,8070767
2006940,,8070786
2006950,,8070791
2006960,,8070793
2007020,,8070961
2007060,,8071032
2007110,,8071139
2007140,,8071261
2007150,,8071489
2007160,,8072110
2007200,,8075074
2007330,,8075556
2007350,,8079047
2007790,,8079115
2010001,,8079128
2010050,,8079144
2010070,,8084119
2010080,,8089168
2010180,,8089303
2015891,,8098044
2017010,,8098159
2017080,,8098349
2017134,,8101902
2017135,,8101904
2017230,,8102068
2017250,,8102105
2017340,,8102149
2017430,,8102260
2017470,,8170130
