1100629|Lšrrach, Goethestr.|Lšrrach, Goethestr.|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100630|Lšrrach, Niederfeldplatz|Lšrrach, Niederfeld|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100631|Lšrrach, Heithemstr.|Lšrrach, Heithemstr|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100632|Lšrrach, Wintersbuckstr.|Lšrrach, Wintersbuc|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100633|Lšrrach, K.-Herbster-Platz|Lšrrach, K.-Herbste|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100634|Lšrrach, St. Elisabethen-K'hs.|Lšrrach, St. Elisab|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100635|Lšrrach, Arndtstr.|Lšrrach, Arndtstr.|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100636|Lšrrach, Tumringen Schule|Lšrrach, Tumringen |29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100637|Lšrrach, MŸhlestr.|Lšrrach, MŸhlestr.|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100638|Lšrrach, Bettfedernfabrik|Lšrrach, Bettfedern|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100639|Lšrrach, Ršttelnweiler|Lšrrach, Ršttelnwe|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100640|Lšrrach, Ritterstr.|Lšrrach, Ritterstr.|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100641|Haagen, Zentrum|Haagen, Zentrum|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100642|Hauingen, Unterdorfstr.|Hauingen, Unterdorf|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100643|Haagen, Sportplatz|Haagen, Sportplatz|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100644|Lšrrach, Baumgartnerstr.|Lšrrach, Baumgartne|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100645|Lšrrach, Senigallia Platz|Lšrrach, Senigallia|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100646|Lšrrach, Schulzentrum|Lšrrach, Schulzentr|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100647|Lšrrach, Gasthaus Blume|Lšrrach, Gasthaus B|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100648|Lšrrach, Rebmannsweg|Lšrrach, Rebmannswe|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100649|Lšrrach, Ršmerstr.|Lšrrach, Ršmerstr.|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100650|Lšrrach, Brombach SchŸtzenhaus|Lšrrach, Brombach S|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100651|Lšrrach, BŸhl|Lšrrach, BŸhl|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100652|Lšrrach, Grossmannstr.|Lšrrach, Grossmanns|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100653|Lšrrach, Schšpflin|Lšrrach, Schšpflin|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
