UIC|8312372|8312372|8312372|||SBB
UIC|8312373|8312373|8312373|||SBB
UIC|8312375|8312375|8312375|||SBB
UIC|8312380|8312380|8312380|||SBB
UIC|8312381|8312381|8312381|||SBB
UIC|8312383|8312383|8312383|||SBB
UIC|8312385|8312385|8312385|||SBB
UIC|8312392|8312392|8312392|||SBB
UIC|8312400|8312400|8312400|||SBB
UIC|8312407|8312407|8312407|||SBB
UIC|8312409|8312409|8312409|||SBB
UIC|8312410|8312410|8312410|||SBB
UIC|8312411|8312411|8312411|||SBB
UIC|8312412|8312412|8312412|||SBB
UIC|8312414|8312414|8312414|||SBB
UIC|8312417|8312417|8312417|||SBB
UIC|8312418|8312418|8312418|||SBB
UIC|8312419|8312419|8312419|||SBB
UIC|8312420|8312420|8312420|||SBB
UIC|8312421|8312421|8312421|||SBB
UIC|8312422|8312422|8312422|||SBB
UIC|8312424|8312424|8312424|||SBB
UIC|8312426|8312426|8312426|||SBB
UIC|8312430|8312430|8312430|||SBB
UIC|8312532|8312032|8312532|||SBB
UIC|8312799|8312799|8312799|||SBB
UIC|8312802|8312802|8312802|||SBB
UIC|8312807|8312807|8312807|||SBB
UIC|8312808|8312808|8312808|||SBB
UIC|8312809|8312809|8312809|||SBB
UIC|8312810|8312810|8312810|||SBB
UIC|8312816|8312816|8312816|||SBB
UIC|8312818|8312818|8312818|||SBB
UIC|8312819|8312819|8312819|||SBB
UIC|8312852|8312852|8312852|||SBB
UIC|8312854|8312854|8312854|||SBB
UIC|8312855|8312855|8312855|||SBB
UIC|8312857|8312857|8312857|||SBB
UIC|8312859|8312859|8312859|||SBB
UIC|8312860|8312860|8312860|||SBB
UIC|8312862|8312862|8312862|||SBB
UIC|8312866|83G0415|8312866|||SBB
UIC|8312867|8312867|8312867|||SBB
UIC|8312869|8312869|8312869|||SBB
UIC|8312872|8312872|8312872|||SBB
UIC|8312873|8312873|8312873|||SBB
UIC|8312874|8312874|8312874|||SBB
UIC|8312876|8312876|8312876|||SBB
UIC|8312878|8312878|8312878|||SBB
UIC|8312879|8312879|8312879|||SBB
UIC|8312880|8312880|8312880|||SBB
UIC|8312885|8312885|8312885|||SBB
UIC|8312886|8312886|8312886|||SBB
UIC|8312887|8312887|8312887|||SBB
UIC|8312888|8312888|8312888|||SBB
UIC|8312889|8312889|8312889|||SBB
UIC|8312890|8312890|8312890|||SBB
UIC|8312891|8312891|8312891|||SBB
UIC|8312895|8312895|8312895|||SBB
UIC|8312896|8312896|8312896|||SBB
UIC|8312950|8312950|8312950|||SBB
UIC|8312952|8312952|8312952|||SBB
UIC|8312954|8312954|8312954|||SBB
UIC|8312956|8312956|8312956|||SBB
UIC|8313502|8313502|8313502|||SBB
UIC|8313562|8313562|8313562|||SBB
UIC|8313586|8313586|8313586|||SBB
UIC|8313612|8313612|8313612|||SBB
UIC|8313615|8301111|8313615|||SBB
UIC|8313622|8313622|8313622|||SBB
UIC|8313647|8313647|8313647|||SBB
UIC|8313654|8313654|8313654|||SBB
UIC|8313694|8313694|8313694|||SBB
UIC|8313696|8313696|8313696|||SBB
UIC|8313712|8313712|8313712|||SBB
UIC|8313761|8313761|8313761|||SBB
UIC|8313765|8313765|8313765|||SBB
UIC|8314013|8314013|8314013|||SBB
UIC|8314026|8314026|8314026|||SBB
UIC|8314041|8314041|8314041|||SBB
UIC|8314060|8314060|8314060|||SBB
UIC|8314068|8314068|8314068|||SBB
UIC|8314099|8314099|8314099|||SBB
UIC|8316024|83G0332|8316024|||SBB
UIC|8317026|8307026|8317026|||SBB
UIC|8319371|8301138|8319371|||SBB
UIC|8319988|8359988|8319988|||SBB
UIC|8320005|8301139|8320005|||SBB
UIC|8320064|8320064|8320064|||SBB
UIC|8321139|8361139|8321139|||SBB
UIC|8321451|8322121|8321451|||SBB
UIC|8321974|8311974|8321974|||SBB
UIC|8324006|8324006|8324006|||SBB
UIC|8324007|8324007|8324007|||SBB
UIC|8325001|8302988|8325001|||SBB
UIC|8325005|8302990|8325005|||SBB
UIC|8325013|8302994|8325013|||SBB
UIC|8325014|8302995|8325014|||SBB
UIC|8325015|8302996|8325015|||SBB
UIC|8325016|8302997|8325016|||SBB
UIC|8325017|8302998|8325017|||SBB
UIC|8325021|8302999|8325021|||SBB
UIC|8325025|8303000|8325025|||SBB
UIC|8325031|8303001|8325031|||SBB
UIC|8325032|83G0315|8325032|||SBB
UIC|8325033|8303003|8325033|||SBB
UIC|8325034|83G0316|8325034|||SBB
