SBB|UIC|0100001|01G0001|BERLIN|BERLIN|29|CET|000000N|000000E|||||DE||||||1
SBB|UIC|8311975|8311975|Reggio di Calabria-S. Caterina|Reggio di Calabria-|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312001|8312001|Fiumara Gazzi|Fiumara Gazzi|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312002|8312002|Palermo Centrale|Palermo Centrale|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312003|8312003|Mili Marina|Mili Marina|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312005|8312005|Ponte Santo Stefano|Ponte Santo Stefano|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312008|8312008|Bagheria|Bagheria|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312010|8312010|Casteldaccia|Casteldaccia|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312011|8312011|Altavilla Milicia|Altavilla Milicia|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312012|8312012|S. Nicola (Tonnara)|S. Nicola (Tonnara)|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312013|8312013|Trabia|Trabia|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312014|8312014|Termini Imerese|Termini Imerese|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312017|8312017|Campofelice|Campofelice|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312018|8312018|Lascari-Gratteri|Lascari-Gratteri|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312020|8312020|Castelbuono|Castelbuono|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312021|8312021|Pollina-S. Mauro Castelverde|Pollina-S. Mauro Ca|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312022|8312022|Tusa|Tusa|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312024|8312024|S. Stefano di Camastra-Mistret|S. Stefano di Camas|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312025|8312025|Caronia|Caronia|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312026|8312026|S. Fratello-Acquedolci|S. Fratello-Acquedo|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312027|8312027|S. Agata Militello|S. Agata Militello|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312028|8312028|S. Marco d'Alunzio-Torrenova|S. Marco d'Alunzio-|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312029|8312029|Zappulla|Zappulla|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312030|8312030|Capo d'Orlando-Naso|Capo d'Orlando-Naso|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312031|8312031|Brolo-Ficarra|Brolo-Ficarra|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312033|8312033|Gioiosa Marea|Gioiosa Marea|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312034|8312034|S. Giorgio|S. Giorgio|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312035|8312035|Ficarazzi|Ficarazzi|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312036|8313684|Patti-S. Piero Patti|Patti-S. Piero Patt|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312037|8312037|Oliveri-Tindari|Oliveri-Tindari|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312038|8312038|Falcone|Falcone|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312039|8312039|Novara-Montalbano-Frnari|Novara-Montalbano-F|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312040|8352398|Terme Vigliatore|Terme Vigliatore|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312041|8312041|Barcellona-Castroreale|Barcellona-Castrore|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312042|8312042|Milazzo|Milazzo|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|0100002|0100002|FRANKFURT|FRANKFURT|29|CET|000000N|000000E|||||DE||||||1
SBB|UIC|0100006|01G0000|MUNICH HBF|MUNICH HBF|29|CET|000000N|000000E|||||DE||||||1
SBB|UIC|0100003|01G0004|LEVERKUSEN|LEVERKUSEN|29|CET|000000N|000000E|||||DE||||||1
SBB|UIC|0100004|01G0005|Munich|Munich|29|CET|000000N|000000E|||||DE||||||1
SBB|UIC|0100007|0100007|BREMEN|BREMEN|29|CET|000000N|000000E|||||DE||||||1
SBB|UIC|0100008|8101363|LOICH|LOICH|29|CET|000000N|000000E|||||DE||||||1
SBB|UIC|8312045|8312045|Pace del Mela|Pace del Mela|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312049|8312049|Rometta Messinese|Rometta Messinese|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312054|8312054|Spadafora|Spadafora|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312055|8312055|Palermo Brancaccio|Palermo Brancaccio|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312060|8312060|Ponte Schiavo|Ponte Schiavo|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312061|8312061|Torregrotta|Torregrotta|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312068|8312068|Lercara Diramazione|Lercara Diramazione|29|CET|000000N|000000E|||||IT||||||1
SBB|UIC|8312100|8312100|Trapani|Trapani|29|CET|000000N|000000E|||||IT||||||1
