|CET||1||AT||Ledenitzen West Bahnhst|Ledenitzen West Bahnhst|||8102149|463346N|29|135754E||||OBB|8102149|UIC
|CET||1||HU||Kelenföld|Budapest-kelenfel'|||5501024|472751N|29|190113E||||OBB|5500008|UIC
|CET||1||HU||Budapest-Keleti|Budapest keleti|||5510017|473001N|29|190506E||||OBB|5500003|UIC
|CET||1||HU||Györ-Gyarvaros|Gyor-Gyarvaros|||5501263|474105N|29|173943E||||OBB|5500585|UIC
|CET||1||DE||Graben-Neudorf Nord Polizei|Graben-Neudorf Nord Polizei|||8039278|491021N|29|082946E||||OBB|8070888|UIC
|CET||1||DE||Rheinsheim Schule|Rheinsheim Schule|||8070890|491357N|29|082434E||||OBB|8070890|UIC
|CET||1||DE||Grub(Oberpf)|Grub(Oberpf)|||8026255|492128N|29|124053E||||OBB|8002436|UIC
|CET||1||DE||Nürnberg Plärrer|Nurnberg Plarrer|||8067886|492653N|29|110352E||||OBB|8070724|UIC
|CET||1||DE||Gosberg Kirche|Gosberg Kirche|||8071102|494215N|29|110655E||||OBB|8071079|UIC
|CET||1||DE||Kirchehrenbach Mitte|Kirchehrenbach Mitte|||8022146|494402N|29|110846E||||OBB|8071080|UIC
|CET||1||DE||Baunach Raiffeisenbank|Baunach Raiffeisenbank|||8070993|495912N|29|105102E||||OBB|8070993|UIC
|CET||1||DE||Staffel Ost|Staffel Ost|||8071537|502400N|29|080251E||||OBB|8071537|UIC
|CET||1||DE||Elz Weberstraße Ost|Elz Weberstrasse Ost|||8074482|502437N|29|080155E||||OBB|8074482|UIC
|CET||1||DE||Elz(Limburg/Lahn) Mitte|Elz(Limburg/Lahn) Mitte|||8011543|502445N|29|080209E||||OBB|8071536|UIC
|CET||1||DE||Niedererbach Bus|Niedererbach Bus|||8074481|502534N|29|075839E||||OBB|8074481|UIC
|CET||1||DE||Niederhadamar Süd|Niederhadamar Sud|||8071535|502558N|29|080201E||||OBB|8071535|UIC
|CET||1||DE||Hadamar Stadtmitte|Hadamar Stadtmitte|||8071533|502649N|29|080243E||||OBB|8071533|UIC
|CET||1||DE||Dreikirchen Hauptstraße|Dreikirchen Hauptstrasse|||8074480|502651N|29|075727E||||OBB|8074480|UIC
|CET||1||DE||Girod Bus|Girod Bus|||8074478|502704N|29|075440E||||OBB|8074478|UIC
|CET||1||DE||Steinefrenz Ort|Steinefrenz Ort|||8074479|502733N|29|075559E||||OBB|8074479|UIC
|CET||1||DE||Wirges Union|Wirges Union|||8074344|502807N|29|074718E||||OBB|8074344|UIC
|CET||1||DE||Niederzeuzheim Ortsmitte|Niederzeuzheim Ortsmitte|||8071532|502810N|29|080214E||||OBB|8071532|UIC
|CET||1||DE||Rodewisch Busbahnhof|Rodewisch Busbahnhof|||80G0401|503148N|29|122410E||||OBB|8070985|UIC
|CET||1||DE||Berzhahn Ortsmitte|Berzhahn Ortsmitte|||8071529|503218N|29|080018E||||OBB|8071529|UIC
|CET||1||DE||Willmenrod Ortsmitte|Willmenrod Ortsmitte|||8071530|503224N|29|075846E||||OBB|8071530|UIC
|CET||1||DE||Limbach(Vogtl) Markt|Limbach (Vogtl) Markt|||80G0393|503502N|29|121510E||||OBB|8070845|UIC
|CET||1||DE||Reichenbach(Vogtl) Bus|Reichenbach(Vogtl) Bus|||8006704|503738N|29|121733E||||OBB|8070204|UIC
|CET||1||DE||Zwönitz Gymnasium|Zwönitz Gymnasium|||8071642|503801N|29|124830E||||OBB|8071642|UIC
|CET||1||DE||Ebersbrunn Gasthof Löwe|Ebersbrunn Gasthof Lowe|||8071753|503908N|29|122621E||||OBB|8071753|UIC
|CET||1||DE||Daßlitz Kreuzung|Dasslitz Kreuzung|||8071746|504054N|29|120748E||||OBB|8071735|UIC
|CET||1||DE||Bonn UN Campus|Bonn Un Campus|||8001091|504252N|29|070704E||||OBB|8001091|UIC
|CET||1||DE||Kurort Kipsdorf|Kurort Kipsdorf|||8006958|504817N|29|134035E||||OBB|8012133|UIC
|CET||1||DE||Chemnitz Stadlerplatz|Chemnitz Stadlerplatz|||8017478|504915N|29|125537E||||OBB|8017478|UIC
|CET||1||DE||Buschmühle|Buschmuhle|||8061301|504935N|29|134124E||||OBB|8011301|UIC
|CET||1||DE||Obercarsdorf|Obercarsdorf|||8075718|505136N|29|133954E||||OBB|8012518|UIC
|CET||1||DE||Ulberndorf|Ulberndorf|||8065806|505226N|29|134019E||||OBB|8013167|UIC
|CET||1||DE||Mittelherwigsdorf Gütchen|Mittelherwigsdorf Gütchen|||8006114|505458N|29|144535E||||OBB|8071714|UIC
|CET||1||DE||Battenberg Bf|Battenberg Bf|||8005245|510121N|29|083815E||||OBB|8000819|UIC
|CET||1||DE||Allendorf(Eder) Bf|Allendorf(Eder) Bf|||8005240|510133N|29|084037E||||OBB|8000493|UIC
|CET||1||DE||Stolpen Grüne Aue|Stolpen Grune Aue|||8079044|510222N|29|140518E||||OBB|8079044|UIC
|CET||1||DE||Dürrhennersdorf|Durrhennersdorf|||80G0492|510257N|29|143633E||||OBB|8011439|UIC
|CET||1||DE||Großschweidnitz|Grossschweidnitz|||80G0491|510419N|29|143756E||||OBB|8010148|UIC
|CET||1||DE||Seebach(b Mühl.) Ort|Seebach(B Muhl.) Ort|||80G0422|510951N|29|103046E||||OBB|8089141|UIC
|CET||1||DE||Niesky Horkaer Straße|Niesky Horkaer Strasse|||80G0397|511733N|29|144936E||||OBB|8070900|UIC
|CET||1||DE||Dingelstädt ZOB|Dingelstadt Zob|||8016553|511900N|29|101901E||||OBB|8087005|UIC
|CET||1||DE||Hattingen(Ruhr) EBD|HATTINGEN (RUHR)|||8010201|512403N|29|071010E||||OBB|8070427|UIC
|CET||1||DE||Bochum-Dahlhausen EBD|Bochum-Dahlhausen Ebd|||8010205|512535N|29|070827E||||OBB|8070331|UIC
|CET||1||DE||Essen Hbf (ZOB)|Essen Hbf (Zob)|||8089324|512702N|29|070047E||||OBB|8089324|UIC
|CET||1||DE||Halle(Saale)Hbf Gl. 13a|Halle(Saale)Hbf Gl. 13A|||8098159|512843N|29|115915E||||OBB|8098159|UIC
|CET||1||DE||Brehna Markt|Brehna Markt|||8071739|513326N|29|121245E||||OBB|8071739|UIC
|CET||1||DE||Friesdorf|Friesdorf|||8024413|513521N|29|111807E||||OBB|8011586|UIC
|CET||1||DE||Klostermansfeld Randsiedlung|Klostermansfeld Randsiedlung|||8033030|513527N|29|112954E||||OBB|8010204|UIC
|CET||1||DE||Friesdorf Ost|Friesdorf Ost|||8024412|513552N|29|111925E||||OBB|8011587|UIC
|CET||1||DE||Mansfeld(Südharz)|Mansfeld(Sudharz)|||8024408|513601N|29|112707E||||OBB|8012300|UIC
|CET||1||DE||Gräfenstuhl-Klippmühle|Grafenstuhl-Klippmuhle|||8024410|513607N|29|112415E||||OBB|8011685|UIC
|CET||1||DE||Biesenrode|Biesenrode|||8024411|513614N|29|112305E||||OBB|8011187|UIC
|CET||1||DE||Bad Schmiedeberg Süd|Bad Schmiedeberg Sud|||8011083|514011N|29|124333E||||OBB|8011083|UIC
|CET||1||DE||Jänschwalde Dorf|Janschwalde Dorf|||8004056|515142N|29|142956E||||OBB|8079737|UIC
|CET||1||DE||Jänschwalde Ost (Bus)|Janschwalde Ost (Bus)|||8004055|515231N|29|143239E||||OBB|8079738|UIC
|CET||1||DE||Straach Alte Schule|Straach Alte Schule|||8071056|515726N|29|123536E||||OBB|8071056|UIC
|CET||1||DE||Grunow(Nl) Dorf|Grunow(Nl) Dorf|||8080981|520928N|29|142330E||||OBB|8080981|UIC
|CET||1||DE||Ziltendorf Kreuzung|Ziltendorf Kreuzung|||80G0549|521222N|29|143726E||||OBB|8079781|UIC
|CET||1||DE||Wiesenau Dorfstraße|Wiesenau Dorfstrasse|||80G0547|521350N|29|143528E||||OBB|8079778|UIC
|CET||1||DE||Finkenheerd Lindenstraße|Finkenheerd Lindenstrasse|||80G0512|521543N|29|143443E||||OBB|8079725|UIC
