UIC	499551	499551	499551			NVS
UIC	499573	499573	499573			NVS
UIC	499577	499577	499577			NVS
UIC	499589	499589	499589			NVS
UIC	499595	499595	499595			NVS
UIC	499608	499608	499608			NVS
UIC	499640	499640	499640			NVS
UIC	499644	499644	499644			NVS
UIC	499647	499647	499647			NVS
UIC	499660	499660	499660			NVS
UIC	499699	499699	499699			NVS
UIC	500001	500001	500001			NVS
UIC	500045	500045	500045			NVS
UIC	500046	500046	500046			NVS
UIC	500047	500047	500047			NVS
UIC	500077	500077	500077			NVS
UIC	500145	500145	500145			NVS
UIC	500189	500189	500189			NVS
UIC	500230	500230	500230			NVS
UIC	500235	500235	500235			NVS
UIC	500251	500251	500251			NVS
UIC	500355	500355	500355			NVS
UIC	500394	500394	500394			NVS
UIC	8002160	80G0154	8002160			NVS
UIC	500640	500640	500640			NVS
UIC	500729	500729	500729			NVS
UIC	500730	500730	500730			NVS
UIC	501311	501311	501311			NVS
UIC	8000699	8000699	8000699			NVS
UIC	500785	500785	500785			NVS
UIC	500787	500787	500787			NVS
UIC	500846	500846	500846			NVS
UIC	500857	500857	500857			NVS
UIC	500865	500865	500865			NVS
UIC	500872	500872	500872			NVS
UIC	500877	500877	500877			NVS
UIC	500946	500946	500946			NVS
UIC	501018	501018	501018			NVS
UIC	500959	500959	500959			NVS
UIC	500961	500961	500961			NVS
UIC	500966	500966	500966			NVS
UIC	500967	500967	500967			NVS
UIC	501013	501013	501013			NVS
UIC	501014	501014	501014			NVS
UIC	501015	501015	501015			NVS
UIC	501016	501016	501016			NVS
UIC	501017	501017	501017			NVS
UIC	501021	501021	501021			NVS
UIC	501027	501027	501027			NVS
UIC	501034	501034	501034			NVS
UIC	501070	501070	501070			NVS
UIC	501114	501114	501114			NVS
UIC	501138	501138	501138			NVS
UIC	501178	501178	501178			NVS
UIC	501188	501188	501188			NVS
UIC	501216	501216	501216			NVS
UIC	501275	501275	501275			NVS
UIC	501340	501340	501340			NVS
UIC	501380	501380	501380			NVS
UIC	501680	501680	501680			NVS
UIC	501381	501381	501381			NVS
UIC	501412	501412	501412			NVS
UIC	501448	501448	501448			NVS
UIC	501455	501455	501455			NVS
UIC	501518	501518	501518			NVS
UIC	501549	501549	501549			NVS
UIC	501570	501570	501570			NVS
UIC	501604	501604	501604			NVS
UIC	501627	501627	501627			NVS
UIC	501897	501897	501897			NVS
UIC	501770	501770	501770			NVS
UIC	501780	501780	501780			NVS
UIC	501796	501796	501796			NVS
UIC	502029	502029	502029			NVS
UIC	502035	502035	502035			NVS
UIC	502054	502054	502054			NVS
UIC	502067	502067	502067			NVS
UIC	502094	502094	502094			NVS
UIC	502137	502137	502137			NVS
UIC	502138	502138	502138			NVS
UIC	502147	502147	502147			NVS
UIC	502191	502191	502191			NVS
UIC	502243	502243	502243			NVS
UIC	502333	502333	502333			NVS
UIC	502379	502379	502379			NVS
UIC	502413	502413	502413			NVS
UIC	502450	502450	502450			NVS
UIC	502453	502453	502453			NVS
UIC	502942	502942	502942			NVS
UIC	503153	503153	503153			NVS
UIC	503172	503172	503172			NVS
UIC	503180	503180	503180			NVS
UIC	503210	503210	503210			NVS
UIC	503298	503298	503298			NVS
UIC	503567	503567	503567			NVS
UIC	503641	503641	503641			NVS
UIC	503642	503642	503642			NVS
UIC	503774	503774	503774			NVS
UIC	503644	503644	503644			NVS
UIC	503645	503645	503645			NVS
UIC	503731	503731	503731			NVS
UIC	503691	503691	503691			NVS
UIC	503759	503759	503759			NVS
UIC	503826	503826	503826			NVS
UIC	503931	503931	503931			NVS
UIC	504602	504602	504602			NVS
UIC	504636	504636	504636			NVS
UIC	504672	504672	504672			NVS
UIC	505924	505924	505924			NVS
UIC	506043	506043	506043			NVS
UIC	506100	506100	506100			NVS
UIC	8007570	8007570	8007570			NVS
UIC	506802	506802	506802			NVS
UIC	506906	506906	506906			NVS
UIC	506924	506924	506924			NVS
UIC	506950	506950	506950			NVS
UIC	507619	507619	507619			NVS
UIC	508011	508011	508011			NVS
UIC	508014	508014	508014			NVS
UIC	508117	508117	508117			NVS
UIC	508142	508142	508142			NVS
UIC	508144	508144	508144			NVS
UIC	508145	508145	508145			NVS
UIC	508154	508154	508154			NVS
UIC	508155	508155	508155			NVS
UIC	518358	8059214	518358			NVS
UIC	518359	518359	518359			NVS
UIC	518654	518654	518654			NVS
UIC	508160	508160	508160			NVS
UIC	508167	508167	508167			NVS
UIC	8007460	8007460	8007460			NVS
UIC	508183	508183	508183			NVS
UIC	508187	508187	508187			NVS
UIC	508505	508505	508505			NVS
UIC	508709	508709	508709			NVS
UIC	508959	508959	508959			NVS
UIC	508965	508965	508965			NVS
UIC	509610	509610	509610			NVS
UIC	8007458	8007458	8007458			NVS
UIC	509717	509717	509717			NVS
UIC	510151	510151	510151			NVS
UIC	510171	510171	510171			NVS
UIC	511237	511237	511237			NVS
UIC	8003082	8003082	8003082			NVS
UIC	513277	513277	513277			NVS
UIC	514642	514642	514642			NVS
UIC	518183	518183	518183			NVS
UIC	8071038	8071038	8071038			NVS
UIC	518206	518206	518206			NVS
UIC	518278	8059253	518278			NVS
UIC	518299	518299	518299			NVS
UIC	511172	511172	511172			NVS
UIC	518337	518337	518337			NVS
UIC	518347	518347	518347			NVS
UIC	518373	518373	518373			NVS
UIC	518370	518370	518370			NVS
UIC	518371	518371	518371			NVS
UIC	518372	518372	518372			NVS
UIC	518530	518530	518530			NVS
UIC	518551	518551	518551			NVS
UIC	518553	518553	518553			NVS
UIC	518587	518587	518587			NVS
UIC	524175	524175	524175			NVS
UIC	532175	532175	532175			NVS
UIC	8003176	80G0159	8003176			NVS
UIC	532975	532975	532975			NVS
UIC	8000641	8000641	8000641			NVS
UIC	536335	536335	536335			NVS
UIC	8002456	8002456	8002456			NVS
UIC	540301	540301	540301			NVS
UIC	540975	540975	540975			NVS
UIC	541528	541528	541528			NVS
UIC	541545	541545	541545			NVS
UIC	541866	541866	541866			NVS
UIC	541870	541870	541870			NVS
UIC	541872	541872	541872			NVS
UIC	541874	541874	541874			NVS
UIC	541882	541882	541882			NVS
UIC	541902	541902	541902			NVS
UIC	542059	542059	542059			NVS
UIC	828136	828136	828136			NVS
UIC	542061	542061	542061			NVS
