CODE_VALUE	DEFAULT_LONG_NAME	LOCATION_TYPE_CODE	LATITUDE	LONGITUDE	GENERIC_LOCATION_CODE	DEFAULT_LONG_NAME	LOCATION_TYPE_CODE		COUNTRY_CODE	STATUS_CODE
8504882	La Joux FR, centre	29	463746N	065619E	8504882	La Joux FR, centre	29		CH	1
8504883	Vuisternens-dt-Romont, Poyet	29	463823N	065629E	8504883	Vuisternens-dt-Romo	29		CH	1
8504884	Epagny, village	29	463525N	070502E	8504884	Epagny, village	29		CH	1
8504886	Donatyre, poste	29	465231N	070330E	8504886	Donatyre, poste	29		CH	1
8504887	St-Aubin FR, eglise	29	465324N	065848E	8504887	St-Aubin FR, eglise	29		CH	1
8504888	Berg FR, Restaurant	29	465047N	071359E	8504888	Berg FR, Restaurant	29		CH	1
8504879	Drognens, caserne	29	464035N	065342E	8504879	Drognens, caserne	29		CH	1
8504880	Moleson-sur-Gruyeres	26	463340N	070218E	8504880	Moleson-sur-Gruyere	26		CH	1
8504881	Fribourg, gare	26	464813N	070900E	85G0761	Fribourg, gare	26		CH	1
8504896	Estevenens, dessus college	29	464009N	065747E	8504896	Estevenens, dessus 	29		CH	1
8504897	Estevenens, poste	29	464002N	065656E	8504897	Estevenens, poste	29		CH	1
8504898	Grangettes-pres-Romont, village	29	464044N	065742E	8504898	Grangettes-pres-Rom	29		CH	1
8504899	Siviriez, village	26	463930N	065237E	8591335	Siviriez, village	26		CH	1
8504900	Courtion, bif.	29	465121N	070346E	8504900	Courtion, bif.	29		CH	1
8504901	Nuvilly, poste	29	464658N	064957E	8504901	Nuvilly, poste	29		CH	1
8504902	Vesin, village	29	464829N	065217E	8504902	Vesin, village	29		CH	1
8504889	Lanthen, Abzw.	29	465103N	071533E	8504889	Lanthen, Abzw.	29		CH	1
8504890	Schmitten FR, Dorf	29	465120N	071455E	8504890	Schmitten FR, Dorf	29		CH	1
8504866	Orsonnens, Cafe	29	464259N	065943E	8504866	Orsonnens, Cafe	29		CH	1
8504867	Les Paccots, Ermitage	29	463114N	065659E	85G0759	Les Paccots, Ermita	29		CH	1
8504868	Plaffeien, Dorf	29	464429N	071710E	8504868	Plaffeien, Dorf	29		CH	1
8509781	Grabs, Post	29	471056N	092639E	8509781	Grabs, Post	29		CH	1
8509782	Flumserberg Bergheim,alte Post	29	470549N	091826E	8509782	Flumserberg Berghei	29		CH	1
8509783	Hinterrhein, Dorf	29	463153N	091157E	8509783	Hinterrhein, Dorf	29		CH	1
8509784	Ferrera,Innerferrera	29	463119N	092635E	8509784	Ferrera,Innerferrer	29		CH	1
8504891	Porsel, village	29	463601N	065157E	8504891	Porsel, village	29		CH	1
8504892	Mur, village	29	465641N	070343E	8504892	Mur, village	29		CH	1
8504893	Bouloz, Ecole	29	463640N	065253E	8504893	Bouloz, Ecole	29		CH	1
8504895	Le Châtelard FR, village	29	464038N	065839E	8504895	Le Châtelard FR, vi	29		CH	1
8504869	Plasselb, Dorf	29	464407N	071507E	8504869	Plasselb, Dorf	29		CH	1
8504870	Posieux, poste	29	464539N	070544E	8504870	Posieux, poste	29		CH	1
8504871	Rechthalten, Post	29	464615N	071427E	8504871	Rechthalten, Post	29		CH	1
8504872	Riaz, poste	26	463826N	070350E	85G0760	Riaz, poste	26		CH	1
8504873	La Roche FR, poste	29	464151N	070817E	8504873	La Roche FR, poste	29		CH	1
8504874	St. Antoni, Post	29	464921N	071533E	8504874	St. Antoni, Post	29		CH	1
8504875	Sangernboden, Dorf	29	464245N	072106E	8504875	Sangernboden, Dorf	29		CH	1
8504877	Tafers, Dorf	29	464853N	071258E	8504877	Tafers, Dorf	29		CH	1
8504878	Vuisternens-en-Ogoz, croisee	29	464232N	070325E	8504878	Vuisternens-en-Ogoz	29		CH	1
8509765	Samnaun-Compatsch, Erlebnisbad	29	465736N	102408E	85G2258	Samnaun-Compatsch, 	29		CH	1
8509766	Avers, Cresta	29	462823N	093042E	8509766	Avers, Cresta	29		CH	1
8509767	Cumbel, vitg	29	464332N	091131E	8509767	Cumbel, vitg	29		CH	1
8509768	Cunter, vischnanca	29	463627N	093530E	8509768	Cunter, vischnanca	29		CH	1
8509769	Curaglia, posta	29	464023N	085129E	8509769	Curaglia, posta	29		CH	1
8509771	Filzbach, Sportzentrum	29	470714N	090742E	8509771	Filzbach, Sportzent	29		CH	1
8509772	Fläsch, Dorf	29	470138N	093048E	8509772	Fläsch, Dorf	29		CH	1
8509773	Flims Dorf, Post	29	465011N	091725E	8509773	Flims Dorf, Post	29		CH	1
8575603	Balerna, Passeggiata	29	455016N	090022E	8575603	Balerna, Passeggiat	29		CH	1
8575604	Balerna, Via Ciseri	29	455009N	090048E	8575604	Balerna, Via Ciseri	29		CH	1
8575605	Chiasso, Centro Sportivo	29	455006N	090103E	8575605	Chiasso, Centro Spo	29		CH	1
8509759	Buffalora	29	463853N	101603E	8509759	Buffalora	29		CH	1
8509774	Flims Waldhaus, Caumasee	29	464935N	091721E	8509774	Flims Waldhaus, Cau	29		CH	1
8509775	Flüela, Ospiz	29	464508N	095643E	8509775	Flüela, Ospiz	29		CH	1
8509776	Ftan, cumün	26	464736N	101449E	8509776	Ftan, cumün	26		CH	1
8509777	Fuldera, cumün	29	463629N	102224E	8509777	Fuldera, cumün	29		CH	1
8509778	Il Fuorn	29	463952N	101237E	8509778	Il Fuorn	29		CH	1
8509779	Furna, Post	29	465613N	094041E	8509779	Furna, Post	29		CH	1
8509780	Gams(CH), Post	29	471214N	092628E	8509780	Gams(CH), Post	29		CH	1
8504903	Chavannes-sur-Moudon, La Croix	29	463901N	064811E	8504903	Chavannes-sur-Moudo	29		CH	1
8509755	Bivio, posta	29	462812N	093859E	8509755	Bivio, posta	29		CH	1
8509756	Borgonovo, Villaggio	29	462053N	093617E	8509756	Borgonovo, Villaggi	29		CH	1
8509757	Breil/Brigels, posta	29	464604N	090347E	8509757	Breil/Brigels, post	29		CH	1
8509758	Buchen im Prättigau, Baschär	29	465629N	094257E	8509758	Buchen im Prättigau	29		CH	1
8575599	Novazzano, Chiesa	29	455030N	085857E	8575599	Novazzano, Chiesa	29		CH	1
8575600	Novazzano, Moronaccio	29	455032N	085919E	8575600	Novazzano, Moronacc	29		CH	1
8575601	Novazzano, Fercasa	29	455031N	085928E	8575601	Novazzano, Fercasa	29		CH	1
8575602	Novazzano, Ponte Pobbia	29	455023N	085951E	8575602	Novazzano, Ponte Po	29		CH	1
8509785	Jenins, Rathaus	29	470008N	093325E	8509785	Jenins, Rathaus	29		CH	1
8575579	Castel S.Pietro,Pte Loverciano	29	455148N	090010E	8575579	Castel S.Pietro,Pte	29		CH	1
8575580	Castel S.Pietro, Posta	29	455144N	090027E	8575580	Castel S.Pietro, Po	29		CH	1
8575581	Castel S.Pietro, Al Roccolo	29	455148N	090044E	8575581	Castel S.Pietro, Al	29		CH	1
8575582	Castel S.Pietro, Obino	29	455151N	090046E	8575582	Castel S.Pietro, Ob	29		CH	1
8509760	Casaccia, Villaggio	29	462323N	093958E	8509760	Casaccia, Villaggio	29		CH	1
8509761	Castasegna, Vecchia Dogana	29	462000N	093051E	8509761	Castasegna, Vecchia	29		CH	1
8509762	Champfer, Schulhaus	29	462842N	094847E	8509762	Champfer, Schulhaus	29		CH	1
8509763	Churwalden, Post	26	464650N	093236E	8509763	Churwalden, Post	26		CH	1
8575607	Genestrerio, Croce Grande	29	455124N	085754E	85G2327	Genestrerio, Croce 	29		CH	1
8575608	Genestrerio, Piazza	29	455118N	085739E	8575608	Genestrerio, Piazza	29		CH	1
8575609	Ligornetto, Crocevia Bullani	29	455136N	085724E	8575609	Ligornetto, Crocevi	29		CH	1
8575610	Ligornetto, Paese	29	455145N	085713E	8575610	Ligornetto, Paese	29		CH	1
8575611	Ligornetto, alla Passeggiata	29	455138N	085648E	8575611	Ligornetto, alla Pa	29		CH	1
8575612	S.Pietro, Bivio per S.Pietro	29	455129N	085633E	8575612	S.Pietro, Bivio per	29		CH	1
8575613	S. Pietro di Stabio, Posta	29	455130N	085617E	8575613	S. Pietro di Stabio	29		CH	1
8575614	Stabio, Municipio	29	455109N	085622E	8575614	Stabio, Municipio	29		CH	1
8578803	Wilen (Gottshaus), Rehalp	29	472952N	091601E	8578803	Wilen (Gottshaus), 	29		CH	1
8578804	Wilen (Gottshaus)	29	472936N	091655E	8578804	Wilen (Gottshaus)	29		CH	1
8578805	Wilen (Gottshaus), Hoferberg	29	472920N	091720E	8578805	Wilen (Gottshaus), 	29		CH	1
8578806	Wilen (Gottshaus), Lauften	29	472911N	091726E	8578806	Wilen (Gottshaus), 	29		CH	1
8578807	Wilen (Gottshaus), Mollishaus	29	472910N	091740E	8578807	Wilen (Gottshaus), 	29		CH	1
8575615	Stabio, Bagni	26	455106N	085632E	8575615	Stabio, Bagni	26		CH	1
8575660	Croglio, Madonnone	29	455841N	085046E	8575660	Croglio, Madonnone	29		CH	1
8578773	Sarmenstorf,Vorstadt	29	471854N	081450E	8578773	Sarmenstorf,Vorstad	29		CH	1
8578777	Glis, Holzji	29	461819N	075856E	8578777	Glis, Holzji	29		CH	1
8578778	Glis, Napoleon	29	461837N	075857E	8578778	Glis, Napoleon	29		CH	1
8578779	Bad Zurzach, Höfli	29	473514N	081730E	8572502	Bad Zurzach, Höfli	29		CH	1
8578825	Wil Sg, Bergholz	29	472731N	090219E	8578825	Wil Sg, Bergholz	29		CH	1
8578826	Wil SG, Bahnhof Süd	26	472741N	090230E	8578826	Wil SG, Bahnhof Süd	26		CH	1
8578827	Brig, Friedhof	29	461844N	075937E	8578827	Brig, Friedhof	29		CH	1
8578828	Malvaglia, Orino	29	462430N	085850E	8578828	Malvaglia, Orino	29		CH	1
8578829	Dongio, Municipio	29	462614N	085720E	8578829	Dongio, Municipio	29		CH	1
8578830	Acquarossa, Ospedale	29	462704N	085625E	8578830	Acquarossa, Ospedal	29		CH	1
8578831	Grumo (Blenio)	29	462837N	085643E	8578831	Grumo (Blenio)	29		CH	1
8578787	Baldingen,Mitteldorf	29	473318N	081901E	8578787	Baldingen,Mitteldor	29		CH	1
8578788	Baldingen, Oberdorf	29	473319N	081852E	8578788	Baldingen, Oberdorf	29		CH	1
8578789	Littenheid, Klinik	29	472626N	090033E	8578789	Littenheid, Klinik	29		CH	1
8578790	Littenheid, Sonnenmatt	29	472635N	090036E	8578790	Littenheid, Sonnenm	29		CH	1
8578791	Busswil TG, Hauptstrasse	29	472702N	090052E	8578791	Busswil TG, Hauptst	29		CH	1
8578792	Hub, Dorfplatz	29	472713N	090058E	8578792	Hub, Dorfplatz	29		CH	1
8578780	Bad Zurzach, Promenade	29	473512N	081743E	8578780	Bad Zurzach, Promen	29		CH	1
8578781	Bad Zurzach, Seesteg	29	473457N	081810E	85G2358	Bad Zurzach, Seeste	29		CH	1
8578783	Rekingen AG, Dorf	26	473412N	081918E	85G0140	Rekingen AG, Dorf	26		CH	1
8578784	Böbikon, Dorfplatz	29	473314N	082001E	85G1156	Böbikon, Dorfplatz	29		CH	1
8578785	Böbikon, Schulhaus	29	473314N	081953E	8578784	Böbikon, Schulhaus	29		CH	1
8578786	Baldingen, Unterdorf	29	473323N	081911E	8578786	Baldingen, Unterdor	29		CH	1
8578839	Camperio, Pianezza	29	463118N	085533E	8578839	Camperio, Pianezza	29		CH	1
8578840	Camperio, Ospizio	29	463123N	085437E	8578840	Camperio, Ospizio	29		CH	1
8578841	Camperio, Alta	29	463130N	085419E	8578841	Camperio, Alta	29		CH	1
8575583	Campora, Chiesa	29	455228N	090116E	8575583	Campora, Chiesa	29		CH	1
8575585	Monte, Paese	29	455254N	090138E	8575585	Monte, Paese	29		CH	1
8575586	Monte, Grotto del Lauro	29	455307N	090147E	8575586	Monte, Grotto del L	29		CH	1
8575587	Casima, Paese	29	455326N	090206E	8575587	Casima, Paese	29		CH	1
8575590	Genestrerio, Canova	29	455105N	085743E	8575590	Genestrerio, Canova	29		CH	1
8575591	Brusata(Novazzano), Costa	29	455052N	085749E	8575591	Brusata(Novazzano),	29		CH	1
8575592	Brusata(Novazzano), Nord	29	455042N	085750E	8575592	Brusata(Novazzano),	29		CH	1
8575593	Brusata(Novazzano), Dogana	29	455029N	085743E	8575593	Brusata(Novazzano),	29		CH	1
8575594	Brusata(Novazzano), Paese	29	455035N	085755E	8575594	Brusata(Novazzano),	29		CH	1
8575595	Brusata(Novazzano), Al Gaggio	29	455035N	085810E	8575595	Brusata(Novazzano),	29		CH	1
8575596	Novazzano, Bivio Boscherina	29	455036N	085820E	8575596	Novazzano, Bivio Bo	29		CH	1
8575598	Novazzano, Casate	29	455029N	085839E	8575598	Novazzano, Casate	29		CH	1
8578822	Wilen Bei Wil, Scheidweg	29	472707N	090215E	8578822	Wilen Bei Wil, Sche	29		CH	1
8578823	Wilen Bei Wil, Lerchenfeld	29	472712N	090217E	8578823	Wilen Bei Wil, Lerc	29		CH	1
8578824	Wil Sg, Wilenstrasse	29	472723N	090217E	8578824	Wil Sg, Wilenstrass	29		CH	1
8578813	Frauenfeld, Ochsen	29	473312N	085333E	8578813	Frauenfeld, Ochsen	29		CH	1
8578814	Brig, Weri	29	461850N	075925E	85G1157	Brig, Weri	29		CH	1
8578815	Gerlikon, Huggenbergerhaus	29	473225N	085250E	8578815	Gerlikon, Huggenber	29		CH	1
8578794	Busswil TG, Kreuzstrasse	29	472729N	090117E	8578794	Busswil TG, Kreuzst	29		CH	1
8578795	Wil SG, STIHL	29	472735N	090151E	8578795	Wil SG, STIHL	29		CH	1
8578796	Wil SG,Kantonsschule	29	472739N	090204E	8578796	Wil SG,Kantonsschul	29		CH	1
8578842	Camperio, Piera	29	463135N	085359E	8578842	Camperio, Piera	29		CH	1
8593899	Nyon, rue St-Jean	29	462302N	061425E	8593899	Nyon, rue St-Jean	29		CH	1
8578808	St. Pelagiberg, Kurhaus	29	472916N	091759E	8578808	St. Pelagiberg, Kur	29		CH	1
8578810	Glis, Poststrasse	29	461838N	075845E	8578810	Glis, Poststrasse	29		CH	1
8578798	Bischofszell,Obertor	29	472938N	091438E	8578798	Bischofszell,Oberto	29		CH	1
8578799	Bischofszell, Sattelbogen	29	472948N	091450E	8578799	Bischofszell, Satte	29		CH	1
8578800	Bischofszell, Pflegeheim	29	472951N	091459E	8578800	Bischofszell, Pfleg	29		CH	1
8578801	Bischofszell,Stocken	29	472952N	091510E	8578801	Bischofszell,Stocke	29		CH	1
8578802	Eberswil, Abzw. Lütschwil	29	473005N	091545E	8578802	Eberswil, Abzw. Lüt	29		CH	1
8593915	Clarens, Basset	29	462633N	065308E	8593915	Clarens, Basset	29		CH	1
8593917	Clarens, depot VMCV	29	462629N	065323E	8593917	Clarens, depot VMCV	29		CH	1
8593918	Clarens, rue du Port	29	462626N	065355E	8593918	Clarens, rue du Por	29		CH	1
8593974	La Tour-de-Peilz, Ile-Heureuse	29	462730N	065130E	8593974	La Tour-de-Peilz, I	29		CH	1
8593975	La Tour-de-Peilz,Mousquetaires	29	462712N	065140E	8593975	La Tour-de-Peilz,Mo	29		CH	1
8593976	La Tour-de-Peilz,Portail-Blanc	29	462700N	065153E	85G0456	La Tour-de-Peilz,Po	29		CH	1
8593977	La Tour-de-Peilz,rte de Blonay	29	462744N	065211E	8593968	La Tour-de-Peilz,rt	29		CH	1
8593979	Vevey, av. de Corsier	29	462807N	065034E	8593979	Vevey, av. de Corsi	29		CH	1
8593981	Vevey, Beau-Séjour	29	462737N	065100E	8593981	Vevey, Beau-Séjour	29		CH	1
8578816	Gerlikon, Bausel	29	473222N	085233E	8578816	Gerlikon, Bausel	29		CH	1
8578817	Gachnang, Hofen	29	473229N	085141E	8578817	Gachnang, Hofen	29		CH	1
8578818	Gachnang, Oberwilerstrasse	29	473221N	085121E	8578818	Gachnang, Oberwiler	29		CH	1
8578819	Gachnang, Trotte	29	473223N	085102E	8578819	Gachnang, Trotte	29		CH	1
8578821	Wilen Bei Wil, Langwiesen	29	472701N	090203E	8578821	Wilen Bei Wil, Lang	29		CH	1
8578832	Torre, alla Baracca	29	462853N	085657E	8578832	Torre, alla Baracca	29		CH	1
8578833	Torre, Portera	29	462931N	085708E	8578833	Torre, Portera	29		CH	1
8578834	Dangio, Paese	29	462938N	085708E	8545495	Dangio, Paese	29		CH	1
8578835	Aquila, Bivio Ponto-Aquilesco	29	463028N	085643E	8578835	Aquila, Bivio Ponto	29		CH	1
8578836	Olivone, Municipio	29	463141N	085622E	8578836	Olivone, Municipio	29		CH	1
8578837	Olivone, Petullo	29	463141N	085524E	85G1158	Olivone, Petullo	29		CH	1
8578838	Larescia	29	463109N	085556E	8578838	Larescia	29		CH	1
8593907	Blonay, Champsavaux	29	462733N	065309E	8593907	Blonay, Champsavaux	29		CH	1
8593908	Blonay, Forchex	29	462728N	065315E	8593908	Blonay, Forchex	29		CH	1
8593909	Blonay, Mon Desir	29	462743N	065321E	8593909	Blonay, Mon Desir	29		CH	1
8593911	Blonay, Novalles	29	462742N	065315E	85G0455	Blonay, Novalles	29		CH	1
8593912	Corseaux,Felix-Cornu	29	462820N	064915E	8593912	Corseaux,Felix-Corn	29		CH	1
8593913	Chailly-Montreux, bourg	29	462722N	065320E	8593913	Chailly-Montreux, b	29		CH	1
8593914	Chailly-Montreux, Poneyre	29	462707N	065315E	8593914	Chailly-Montreux, P	29		CH	1
8593942	Montreux, Théâtre Mtx Riviera	29	462603N	065453E	8593942	Montreux, Théâtre M	29		CH	1
8593943	Montreux, Vernex	29	462624N	065414E	8593943	Montreux, Vernex	29		CH	1
8593944	Montreux, Vernex-Dessus	29	462614N	065437E	8593944	Montreux, Vernex-De	29		CH	1
8593945	Montreux, Vuarennes	26	462621N	065441E	8593945	Montreux, Vuarennes	26		CH	1
8593946	Territet,av. Riviera	29	462540N	065519E	8593946	Territet,av. Rivier	29		CH	1
8593929	Montreux, gare	26	462609N	065437E	8593929	Montreux, gare	26		CH	1
8593930	Montreux, La Corsaz	29	462558N	065456E	8593930	Montreux, La Corsaz	29		CH	1
8593931	Montreux, La Paix	29	462554N	065440E	8593931	Montreux, La Paix	29		CH	1
8593932	Montreux, Le Pont	29	462602N	065500E	8593932	Montreux, Le Pont	29		CH	1
8593982	Vevey, Bergere	29	462800N	065012E	8593982	Vevey, Bergere	29		CH	1
8593933	Montreux, Les Planches	26	462558N	065500E	8593933	Montreux, Les Planc	26		CH	1
8593934	Montreux, Les Taux	29	462623N	065446E	85G1378	Montreux, Les Taux	29		CH	1
8593935	Montreux, Marché	29	462556N	065437E	8593935	Montreux, Marché	29		CH	1
8593936	Montreux, midi	29	462554N	065503E	8593936	Montreux, midi	29		CH	1
8593938	Montreux, rue de la Gare	26	462610N	065443E	8593938	Montreux, rue de la	26		CH	1
8593939	Montreux, rue du Centre	29	462618N	065437E	8593939	Montreux, rue du Ce	29		CH	1
8593940	Montreux, rue du Marché	29	462559N	065440E	8593940	Montreux, rue du Ma	29		CH	1
8593941	Montreux, rue Industrielle	29	462558N	065448E	8593941	Montreux, rue Indus	29		CH	1
8593962	La Tour-de-Peilz, gymnase	29	462707N	065241E	8593962	La Tour-de-Peilz, g	29		CH	1
8593963	La Tour-de-Peilz, La Becque	29	462701N	065141E	8593963	La Tour-de-Peilz, L	29		CH	1
8593964	La Tour-de-Peilz, Maladaire	29	462649N	065243E	8593964	La Tour-de-Peilz, M	29		CH	1
8593965	La Tour-de-Peilz, Murets	29	462705N	065212E	8593965	La Tour-de-Peilz, M	29		CH	1
8593966	La Tour-de-Peilz, Perrausaz	29	462734N	065145E	8593966	La Tour-de-Peilz, P	29		CH	1
8593967	La Tour-de-Peilz, Roussy	29	462722N	065115E	8593967	La Tour-de-Peilz, R	29		CH	1
8593968	La Tour-de-Peilz, Sichoz	29	462742N	065202E	85G1379	La Tour-de-Peilz, S	29		CH	1
8593947	Territet, gare	26	462535N	065523E	8593947	Territet, gare	26		CH	1
8593948	Territet, L'Eaudine	29	462524N	065532E	8593948	Territet, L'Eaudine	29		CH	1
8593949	La Tour-de-Peilz, Alpes	29	462726N	065121E	8593949	La Tour-de-Peilz, A	29		CH	1
8593950	La Tour-de-Peilz, av. Muller	29	462723N	065127E	8593950	La Tour-de-Peilz, a	29		CH	1
8593951	La Tour-de-Peilz, Baumes	29	462709N	065134E	8593951	La Tour-de-Peilz, B	29		CH	1
8593919	Clarens, St-Georges	29	462635N	065248E	8593919	Clarens, St-Georges	29		CH	1
8593920	Montreux, av. Nestlé	29	462553N	065446E	8593920	Montreux, av. Nestl	29		CH	1
8593921	Montreux, Ballallaz	29	462615N	065446E	8593921	Montreux, Ballallaz	29		CH	1
8593922	Montreux, Belmont	26	462624N	065432E	8593922	Montreux, Belmont	26		CH	1
8593923	Montreux, Bon-Port	29	462549N	065458E	8593923	Montreux, Bon-Port	29		CH	1
8593924	Montreux, casino	29	462549N	065445E	8593924	Montreux, casino	29		CH	1
8593925	Montreux, Centre des Congres	29	462617N	065426E	8593925	Montreux, Centre de	29		CH	1
8593926	Montreux, débarcadère	26	462605N	065436E	8593926	Montreux, débarcadè	26		CH	1
8593927	Montreux, Doyen-Bridel	29	462553N	065459E	8593927	Montreux, Doyen-Bri	29		CH	1
8593928	Montreux, Escaliers de la Gare	26	462610N	065433E	8593928	Montreux, Escaliers	26		CH	1
8593901	Nyon, Tattes d'Oie	29	462304N	061316E	8593901	Nyon, Tattes d'Oie	29		CH	1
8593902	Bettlach, Bangertli	29	471205N	072457E	8593902	Bettlach, Bangertli	29		CH	1
8593903	Bettlach,Bergstrasse	29	471240N	072500E	8593903	Bettlach,Bergstrass	29		CH	1
8593905	Blonay, Antiquaire	29	462744N	065326E	8593905	Blonay, Antiquaire	29		CH	1
8593906	Blonay, Champ Dodoz	29	462746N	065332E	85G0454	Blonay, Champ Dodoz	29		CH	1
8593958	La Tour-de-Peilz, Doges	29	462728N	065224E	8593958	La Tour-de-Peilz, D	29		CH	1
8593959	La Tour-de-Peilz, Faraz	29	462718N	065219E	8593959	La Tour-de-Peilz, F	29		CH	1
8593960	La Tour-de-Peilz, Gerenaz	29	462717N	065203E	8593960	La Tour-de-Peilz, G	29		CH	1
8593961	La Tour-de-Peilz, Gregnolet	29	462709N	065229E	8593961	La Tour-de-Peilz, G	29		CH	1
8593969	La Tour-de-Peilz, Sully	29	462704N	065151E	8593969	La Tour-de-Peilz, S	29		CH	1
8593970	La Tour-de-Peilz, Vallon	29	462709N	065304E	8593970	La Tour-de-Peilz, V	29		CH	1
8593971	La Tour-de-Peilz, Vassin	29	462729N	065153E	8593971	La Tour-de-Peilz, V	29		CH	1
8593972	La Tour-de-Peilz, rte Chailly	29	462658N	065210E	8593972	La Tour-de-Peilz, r	29		CH	1
8593973	La Tour-de-Pz,Entre-Deux-Crets	29	462716N	065154E	8593973	La Tour-de-Pz,Entre	29		CH	1
8593952	La Tour-de-Peilz, Bel-Air	29	462719N	065150E	8593952	La Tour-de-Peilz, B	29		CH	1
8593953	La Tour-de-Peilz, Brecheresse	29	462734N	065155E	8593953	La Tour-de-Peilz, B	29		CH	1
8593954	La Tour-de-Peilz, Bulesses	29	462728N	065212E	8593954	La Tour-de-Peilz, B	29		CH	1
8593955	La Tour-de-Peilz, Burier	29	462655N	065229E	8593955	La Tour-de-Peilz, B	29		CH	1
8593956	La Tour-de-Peilz, centre	29	462713N	065123E	8593956	La Tour-de-Peilz, c	29		CH	1
8593957	La Tour-de-Peilz, Crausaz	29	462739N	065225E	8593957	La Tour-de-Peilz, C	29		CH	1
8594846	Nottwil, Oberdorf	29	470814N	080756E	8594846	Nottwil, Oberdorf	29		CH	1
8594847	Nyon, Terre-Bonne	29	462304N	061252E	8594847	Nyon, Terre-Bonne	29		CH	1
8594848	Lenk, Mühleweidli	29	462758N	072623E	8594848	Lenk, Mühleweidli	29		CH	1
8594849	Lenk, Innere Bleiken	29	462814N	072614E	8594849	Lenk, Innere Bleike	29		CH	1
8594850	Lenk, Reitzentrum	29	462823N	072606E	8594850	Lenk, Reitzentrum	29		CH	1
8000032	Schweinfurt Hbf	29	500207N	101247E	8022459	Schweinfurt Hbf	29		DE	1
8000033	Schwelm	29	511726N	071723E	8008136	Schwelm	29		DE	1
8000034	Betzdorf(Sieg)	29	504721N	075212E	8019772	Betzdorf(Sieg)	29		DE	1
8000036	Bielefeld Hbf	29	520145N	083158E	8013597	Bielefeld Hbf	29		DE	1
8000037	Schwerte(Ruhr)	29	512632N	073332E	8008016	Schwerte(Ruhr)	29		DE	1
8000038	Bietigheim-Bissingen	29	485653N	090815E	8029014	Bietigheim-Bissinge	29		DE	1
8000039	Bingen(Rhein) Hbf	29	495807N	075303E	8019039	Bingen(Rhein) Hbf	29		DE	1
8000040	Bocholt	29	515003N	063714E	8010292	Bocholt	29		DE	1
8000041	Bochum Hbf	29	512843N	071324E	8010179	Bochum Hbf	29		DE	1
8000042	Seckach	29	492628N	092018E	8014154	Seckach	29		DE	1
8000043	Seesen	29	515314N	101026E	8013095	Seesen	29		DE	1
8000044	Bonn Hbf	26	504355N	070550E	8015485	Bonn Hbf	26		DE	1
8000045	Boppard Hbf	26	501353N	073510E	8019029	Boppard Hbf	26		DE	1
8000046	Siegen	29	505233N	080059E	8008246	Siegen	29		DE	1
8000047	Bottrop Hbf	29	513034N	065612E	8010021	Bottrop Hbf	29		DE	1
8000048	Brackwede	26	515951N	082954E	8013603	Brackwede	26		DE	1
8000049	Braunschweig Hbf	29	521508N	103225E	8013240	Braunschweig Hbf	29		DE	1
8000050	Bremen Hbf	26	530501N	084850E	8013751	Bremen Hbf	26		DE	1
8000051	Bremerhaven Hbf	26	533206N	083558E	8013786	Bremerhaven Hbf	26		DE	1
8000053	Bretten	29	490213N	084136E	8014094	Bretten	29		DE	1
8000054	Brilon Wald	29	512057N	083434E	8008513	Brilon Wald	29		DE	1
8000055	Bruchsal	29	490729N	083523E	8014040	Bruchsal	29		DE	1
8000056	Buchholz(Nordheide)	29	531929N	095235E	8001233	Buchholz(Nordheide)	29		DE	1
8000057	Buchloe	29	480201N	104258E	8002181	Buchloe	29		DE	1
8000058	Büchen	29	532830N	103724E	8001054	Büchen	29		DE	1
8000059	Bünde(Westf)	29	521207N	083426E	8021173	Bünde(Westf)	29		DE	1
8000060	Siershahn	29	502909N	074617E	8019581	Siershahn	29		DE	1
8000061	Burg-u. Nieder Gemünden	29	504128N	090251E	8005610	Burg-u. Nieder Gemü	29		DE	1
8000062	Steinfurt-Burgsteinfurt	29	520851N	071946E	8021143	Steinfurt-Burgstein	29		DE	1
8000063	Calw	29	484253N	084431E	8029224	Calw	29		DE	1
8000064	Celle	29	523716N	100346E	80G0123	Celle	29		DE	1
8000065	Cölbe	29	505053N	084715E	8005319	Cölbe	29		DE	1
8000066	Coesfeld(Westf)	29	515622N	070950E	8021119	Coesfeld(Westf)	29		DE	1
8000067	Crailsheim	29	490816N	100352E	8029685	Crailsheim	29		DE	1
8000068	Darmstadt Hbf	26	495221N	083747E	8011336	Darmstadt Hbf	26		DE	1
8000069	Sigmaringen	29	480513N	091319E	8029254	Sigmaringen	29		DE	1
8000070	Delmenhorst	29	530310N	083747E	8013828	Delmenhorst	29		DE	1
8000071	Derneburg(Han)	29	520549N	100837E	8013377	Derneburg(Han)	29		DE	1
8000072	Simbach/Inn	26	481546N	130123E	8020012	Simbach/Inn	26		DE	1
8000073	Singen(Hohentwiel)	29	474530N	085025E	8014558	Singen(Hohentwiel)	29		DE	1
8000074	Dillenburg	29	504406N	081739E	8011578	Dillenburg	29		DE	1
8000075	Dillingen(Saar)	29	492110N	064320E	8025345	Dillingen(Saar)	29		DE	1
8000076	Soest	29	513442N	080617E	8010375	Soest	29		DE	1
8000077	Donaueschingen	29	475652N	082956E	8014529	Donaueschingen	29		DE	1
8000078	Donauwörth	29	484250N	104617E	8002042	Donauwörth	29		DE	1
