8300839	Condofuri	29	37,927818	15,874873	8300839	Condofuri	29		IT	1
8300838	Bova Marina	29	37,930468	15,924071	8300838	Bova Marina	29		IT	1
8300438	S.Teresa di Riva	29	37,946283	15,36765	8300438	S.Teresa di Riva	29		IT	1
8301494	Cerda	29	37,953951	13,784465	8301494	Cerda	29		IT	1
8301535	Furci	29	37,963029	15,382074	8301535	Furci	29		IT	1
8300836	Brancaleone	29	37,965488	16,103273	8300836	Brancaleone	29		IT	1
8300844	Fiumetorto	29	37,966754	13,77428	8300844	Fiumetorto	29		IT	1
8302017	Roccalumera-Mandanici	29	37,973104	15,391475	8302017	Roccalumera-Mandani	29		IT	1
8300299	Alcamo Diramazione	29	37,978939	12,915874	8300299	Alcamo Diramazione	29		IT	1
8300330	Termini Imerese	29	37,979687	13,703841	8300330	Termini Imerese	29		IT	1
8300840	Nizza di Sicilia	29	37,986144	15,404333	8300840	Nizza di Sicilia	29		IT	1
8302613	Paceco	29	37,991419	12,550817	8302613	Paceco	29		IT	1
8301336	Campofelice	29	37,992635	13,876863	8301336	Campofelice	29		IT	1
8302236	Trabia	29	37,99658	13,654777	8302236	Trabia	29		IT	1
8300493	Ali Terme	29	38,005156	15,423587	8300493	Ali Terme	29		IT	1
8302287	Tusa	29	38,007868	14,256777	8302287	Tusa	29		IT	1
8301305	Castelbuono	29	38,01437	14,108961	8301305	Castelbuono	29		IT	1
8300835	Ferruzzano	29	38,016359	16,134316	8300835	Ferruzzano	29		IT	1
8300340	Trapani	29	38,017278	12,519308	8300340	Trapani	29		IT	1
8300308	Cefalu	29	38,032679	14,01985	8300308	Cefalu	29		IT	1
8302088	Scaletta Zanclea	29	38,046394	15,465432	8302088	Scaletta Zanclea	29		IT	1
8301135	Altavilla Milicia	29	38,048287	13,554403	8301135	Altavilla Milicia	29		IT	1
8300834	Africo Nuovo	29	38,052707	16,143921	8300834	Africo Nuovo	29		IT	1
8300351	Balestrate	29	38,053352	13,007364	8300351	Balestrate	29		IT	1
8300353	Partinico	29	38,058668	13,109076	8300353	Partinico	29		IT	1
8313704	Reggio Calabria Aeroporto	29	38,059401	15,651329	8313704	Reggio Calabria Aer	29		IT	1
8301276	Casteldaccia	29	38,060202	13,53726	8301276	Casteldaccia	29		IT	1
8301566	Giampilieri	29	38,06364	15,479585	8301566	Giampilieri	29		IT	1
8302715	Trappeto	29	38,065111	13,036909	8302715	Trappeto	29		IT	1
8300431	S.Agata di Militello	29	38,07334	14,640813	8300431	S.Agata di Militell	29		IT	1
8312035	Ficarazzi	29	38,086554	13,463249	8312035	Ficarazzi	29		IT	1
8300833	Bianco	29	38,088912	16,153351	8300833	Bianco	29		IT	1
8300360	Bagheria	29	38,089801	13,507343	8300360	Bagheria	29		IT	1
8301049	Palermo Brancaccio	29	38,092972	13,392561	8301049	Palermo Brancaccio	29		IT	1
8302725	Vespri	29	38,102581	13,361736	8302725	Vespri	29		IT	1
8303930	Palazzo Reale-Orleans	29	38,108925	13,354073	8303930	Palazzo Reale-Orlea	29		IT	1
8301055	Zappulla	29	38,116924	14,703218	8301055	Zappulla	29		IT	1
8301499	Falcone	29	38,119578	15,080461	8301499	Falcone	29		IT	1
8301808	Novara-Montalbano-Furnari	29	38,121676	15,130575	8301808	Novara-Montalbano-F	29		IT	1
8312003	Mili Marina	29	38,123775	15,517676	8312003	Mili Marina	29		IT	1
8301843	Oliveri-Tindari	29	38,128355	15,056571	8301843	Oliveri-Tindari	29		IT	1
8300511	Palermo Notarbartolo	29	38,132311	13,341493	8300511	Palermo Notarbartol	29		IT	1
8302551	Giachery	29	38,135241	13,358069	8302551	Giachery	29		IT	1
8302281	Tremestieri	29	38,138197	15,526997	8302281	Tremestieri	29		IT	1
8302533	Imperatore Federico	29	38,145249	13,349109	8302533	Imperatore Federico	29		IT	1
8300322	Patti-S. Piero Patti	29	38,14689	14,975483	8300322	Patti-S. Piero Patt	29		IT	1
8302498	Carini	29	38,147707	13,186636	8302498	Carini	29		IT	1
8300832	Bovalino	29	38,149121	16,180628	8300832	Bovalino	29		IT	1
8302958	Contesse	29	38,150826	15,535875	8302958	Contesse	29		IT	1
8300302	Barcellona-Castroreale	29	38,15473	15,201007	8300302	Barcellona-Castrore	29		IT	1
8302519	Cinisi-Terrasini	29	38,15553	13,096757	8302519	Cinisi-Terrasini	29		IT	1
8300306	Capo d'Orlando-Naso	29	38,157683	14,744509	8300306	Capo d'Orlando-Naso	29		IT	1
8301201	Brolo-Ficarra	29	38,159077	14,83023	8301201	Brolo-Ficarra	29		IT	1
8302494	Capaci	29	38,171779	13,232461	8302494	Capaci	29		IT	1
8302734	Piraineto	29	38,171982	13,141147	8302734	Piraineto	29		IT	1
8301120	Ardore	29	38,175774	16,207256	8301120	Ardore	29		IT	1
8300332	Messina Centrale	29	38,184542	15,561795	8300332	Messina Centrale	29		IT	1
8300331	Messina Marittima	29	38,187512	15,563755	8300331	Messina Marittima	29		IT	1
8302560	Isola delle Femmine	29	38,194722	13,250263	8302560	Isola delle Femmine	29		IT	1
8300321	Milazzo	29	38,197845	15,258095	8300321	Milazzo	29		IT	1
