UIC	5101000	5101000				BNE
UIC	5101040	5101040				BNE
UIC	5101060	5101060				BNE
UIC	5101090	5101090				BNE
UIC	5100140	5100140				BNE
UIC	5100156	5100156				BNE
UIC	5100165	5100165				BNE
UIC	5100195	5100195				BNE
UIC	5100214	5100214				BNE
UIC	5100220	5100220				BNE
UIC	5100300	5100300				BNE
UIC	5100330	5100330				BNE
UIC	5100333	5100333				BNE
UIC	5100346	5100346				BNE
UIC	5100350	5100350				BNE
UIC	5100363	5100363				BNE
UIC	5104172	8009855			690	BNE
UIC	5100020	5100020				BNE
UIC	5100022	8009850			681	BNE
UIC	5100023	8009851			684	BNE
UIC	5104200	5104200				BNE
UIC	5104220	5104220				BNE
UIC	5104260	5104260				BNE
UIC	5104300	5104300				BNE
UIC	5104340	5104340				BNE
UIC	5104400	5104400				BNE
UIC	5104430	5104430				BNE
UIC	5104470	5104470				BNE
UIC	5104136	5104136				BNE
UIC	5104155	5104155				BNE
UIC	5104170	5104170				BNE
UIC	5104171	5104171				BNE
UIC	5103920	5103920				BNE
UIC	5103940	5103940				BNE
UIC	5103990	5103990				BNE
UIC	5104054	2121514			847	BNE
UIC	5104060	5104060				BNE
UIC	5104080	5104080				BNE
UIC	5104083	5104083				BNE
UIC	5104099	5104099				BNE
UIC	5104120	5104120				BNE
UIC	5101300	5101300				BNE
UIC	5101303	5101303			686	BNE
UIC	5101333	5101333				BNE
UIC	5101390	5101390				BNE
UIC	5101404	5101404				BNE
UIC	5101430	5101430				BNE
UIC	5101440	5101440				BNE
UIC	5101454	5101454				BNE
UIC	5101500	5101500				BNE
UIC	5103670	5103670				BNE
UIC	5103693	5103693				BNE
UIC	5103744	5103744				BNE
UIC	5103750	5103750				BNE
UIC	5103791	5103791				BNE
UIC	5103830	5103830				BNE
UIC	5103865	5103865				BNE
UIC	5103888	5103888				BNE
UIC	5103900	5103900				BNE
UIC	5101260	5101260				BNE
UIC	5101280	5101280				BNE
UIC	5101287	5101287				BNE
UIC	5101296	5101296				BNE
UIC	5103319	5103319				BNE
UIC	5103350	5103350				BNE
UIC	5103360	5103360				BNE
