365775	Bahnhof| Nufringen	29	365775				1
366038	Bahnhof West| Neckar	29	366038				1
366152	Seckenheim Bahnhof|	29	366152				1
366658	Bahnhof| Bötzingen	29	366658				1
367701	Rommelshausen Bahnho	29	367701				1
367704	Endersbach Bahnhof|	29	367704				1
369155	Busbahnhof Steig 5|	29	369155				1
369911	Durlach Bahnhof West	29	369911				1
370000	Bahnhof| Gärtringen	29	370000				1
370281	Friedrichstal Bahnho	29	370281				1
371457	Untertürkheim Bahnho	29	371457				1
371745	Freizeitzentrum| Rül	29	371745				1
371762	Bürgerpark| Jockgrim	29	371762				1
372103	Bahnhof| Lahr (Schwa	29	372103				1
372192	Bahnhof| Singen (Hoh	29	372192				1
372825	Bad Rotenfels Schlos	29	372825				1
373010	Bahnhof| Mühlacker	29	373010				1
374811	Bahnhof| Gemmingen	29	374811				1
374882	Kochendorf Bahnhof|	29	374882				1
375003	Bahnhof| Rheinzabern	29	375003				1
376001	Hauptbahnhof ZOB (St	29	376001				1
376989	S-Pfaffengrund/Wiebl	29	376989				1
393990	Verliehausen Bahnhof	29	355220				1
397527	Rathaus| Dassel	29	355405				1
399876	Busbahnhof| Gersheim	29	399876				1
401865	Hauptbahnhof| Hombur	29	401865				1
401945	Pirminiusstr. Beeden	29	401945				1
401948	Abzw. Bliesberger St	29	401948				1
401973	Dorfplatz Einöd| Hom	29	401973				1
402000	Römermuseum Schwarze	29	402000				1
402001	Bierbacher Str. Schw	29	402001				1
402046	Busbahnhof| Blieskas	29	402046				1
402047	Raintal| Blieskastel	29	402047				1
402075	Bahnhof Bierbach an	29	402075				1
402118	Bahnhof Lautzkirchen	29	402118				1
402137	Rathaus| Gersheim	29	402137				1
402145	Industriegebiet| Ger	29	402145				1
402147	Zum Litzelbach Reinh	29	402147				1
402148	Keltenstr. Reinheim|	29	402148				1
402149	Pfälzerstr. Reinheim	29	402149				1
402157	Saargemünder Str. He	29	402157				1
402162	Kirche Bliesdalheim|	29	402162				1
402243	Bahnhof| St. Ingbert	29	402243				1
402811	Forstamt| Hinterweid	29	402811				1
402812	Kirche| Hinterweiden	29	402812				1
402870	Krone| Münchweiler a	29	402870				1
402939	Steinalben Ort	29	402939				1
403031	Bahnhof| Thaleischwe	29	403031				1
403035	Thaleischweiler Tals	29	403035				1
403177	Rieschweiler Kirche|	29	403177				1
403180	Höhmühlbach Abzw.| R	29	403180				1
403271	Hauptbahnhof| Kaiser	29	403271				1
403663	Bahnhof Abzw.| Schop	29	403663				1
404902	In der Talsbach Blie	29	404902				1
405624	Gh Linde| Altenbambe	29	405624				1
405629	Bahnhof| Alsenz	29	405629				1
405650	Bahnhof| Rockenhause	29	405650				1
405653	Bahnhof| Imsweiler	29	405653				1
405660	Bahnhof| Winnweiler	29	405660				1
405664	Abzw. Gonbach| Münch	29	405664				1
405676	Altenbamberg Nord	29	405676				1
406509	Bingerbrück Bingen H	29	406509				1
406626	Bahnhof| Rheinböllen	29	406626				1
406897	Bahnhof| Staudernhei	29	406897				1
406898	Steuerwald Abzw. Bah	29	406898				1
406917	Bahnhof| Bad Sobernh	29	406917				1
407237	Bahnhof| Lauterecken	29	407237				1
407351	Neubrücke Bahnhof| H	29	407351				1
410432	Hans-Böckler-Str.| L	29	410432				1
410475	Rathaus| Sassenberg	29	410475				1
410502	Kirche| Ostbevern	29	410502				1
410773	Bad Fredeburg Bödefe	29	410773				1
410968	Rathaus| Wenden	29	410968				1
411785	ZOB| Wettringen (Kre	29	411785				1
411966	Realschule| Neuenkir	29	411966				1
412609	Bahnhof| Ahaus	29	412609				1
412719	Abzw. Bahnhof| Arnsb	29	412719				1
412871	Bad Fredeburg Kleins	29	412871				1
412872	Bad Fredeburg Schulz	29	412872				1
413351	Busbahnhof| Eslohe (	29	413351				1
413353	Altenhundem ZOB| Len	29	413353				1
413378	Bad Fredeburg Holth.	29	413378				1
413381	Heiminghausen Bahnho	29	413381				1
413429	Museum| Eslohe (Saue	29	413429				1
413557	ZOB| Finnentrop	29	413557				1
414905	ZOB| Bad Berleburg	29	414905				1
414985	Brücke| Netphen	29	414985				1
415060	Niederlaasphe Amalie	29	415060				1
416006	Betzdorf Wallmenroth	29	416006				1
416079	M≤rer Platz| Freuden	29	416079				1
416212	Apotheke| Hallenberg	29	416212				1
416298	Busbahnhof| Vreden	29	416298				1
417145	Freienohl Bahnhof| M	29	417145				1
420217	Bahnhof| Böbingen an	29	420217				1
420224	Bahnhof| Mögglingen	29	420224				1
420285	Trochtelfingen Ratha	29	420285				1
420294	Pflaumloch Rathaus|	29	420294				1
420315	Goldshöfe Bahnhof| A	29	420315				1
420353	Gerlachsheim Sonne|	29	420353				1
420406	Königshofen Rathaus|	29	420406				1
420409	Lauda ZOB| Lauda-Kön	29	420409				1
420810	Bahnhof/ZOB| Emmendi	29	420810				1
420817	Schwabentorbrücke Sü	29	420817				1
420843	Neustadt Bahnhof| Ti	29	420843				1
420876	Gasthaus Siegeshalle	29	420876				1
420888	Bahnhof Landesgarten	29	420888				1
420976	Neustadt Bahnhof| Ti	29	420976				1
421000	Baden-Brennet Bahnho	29	421000				1
421012	Untergriesheim| Bad	29	421012				1
421025	Bahnhof| Gottmadinge	29	421025				1
421027	Herbolzheim Mitte| N	29	421027				1
421028	Neudenau Mitte	29	421028				1
421030	Siglingen Haltestell	29	421030				1
