DEFAULT_LONG_NAME,GENERIC_LOCATION_CODE,LOCATION_TYPE_CODE,COUNTRY_CODE
Jasienica Dolna,5105672,29,PL
Budziszowice,5105673,29,PL
Łambinowice,5105674,29,PL
Sowin,5105675,29,PL
Tułowice Niemodlińskie,5105676,29,PL
Mańkowice,5105677,29,PL
Kubice,5105678,29,PL
Prudnik,5105690,29,PL
Głuchołazy,5105710,29,PL
Głuchołazy(Gr),5105710,17,PL
Międzylesie,5105720,29,PL
Kłodzko Gł.,5105730,29,PL
Bystrzyca Kłodzka,5105741,29,PL
Kłodzko Miasto,5105746,29,PL
Polanica Zdrój,5105749,29,PL
Duszniki Zdrój,5105752,29,PL
Kudowa Zdrój,5105755,29,PL
Nowa Ruda,5105794,29,PL
Oława,5105827,29,PL
Oborniki lšskie,5105878,29,PL
Miękinia,5105902,29,PL
Trzebnica,5105939,29,PL
Olenica,5105950,29,PL
Grabowno Wielkie,5105954,29,PL
Olenica Rataje,5105957,29,PL
Strzelin,5105980,29,PL
Brzeg Dolny,5106026,29,PL
Wołów,5106033,29,PL
cinawa,5106040,29,PL
Rudna Gwizdanów,5106044,29,PL
Opole Gł.,5106060,29,PL
Opole Gl.,5106060,29,PL
Opole Zach.,5106066,29,PL
Komprachcice,5106072,29,PL
Chmielowice,5106073,29,PL
Szydłów,5106074,29,PL
Kluczbork,5106120,29,PL
Fosowskie,5106150,29,PL
Strzelce Opolskie,5106170,29,PL
Gogolin,5106190,29,PL
Brzeg,5106210,29,PL
Częstochowa,5106265,29,PL
Częstochowa Stradom,5106280,29,PL
Koniecpol,5106307,29,PL
Kielce,5106355,29,PL
Sędziszów,5106430,29,PL
Tunel,5106462,29,PL
Wooszczowa Pon.,5106489,29,PL
Stalowa Wola Rozw.,5106500,29,PL
Stalowa Wola,5106503,29,PL
Tarnobrzeg,5106546,29,PL
Zamoć,5106590,29,PL
Zawada,5106605,29,PL
Bełżec,5106620,29,PL
Susiec,5106624,29,PL
Biłgoraj,5106640,29,PL
Kędzierzyn Kole,5106700,29,PL
Zdzieszowice,5106706,29,PL
Chałupki,5106790,29,PL
Krzyżanowice,5106796,29,PL
Rybnik,5106820,29,PL
Sumina,5106833,29,PL
Wodzisław l.,5106840,29,PL
Olza,5106850,29,PL
Racibórz,5106870,29,PL
Kunia Raciborska,5106888,29,PL
Tworków,5106889,29,PL
Mikołów,5106906,29,PL
Gliwice,5106970,29,PL
Zabrze,5106982,29,PL
Tarnowskie Góry,5107100,29,PL
Lubliniec,5107140,29,PL
Olesno lšskie,5107155,29,PL
Herby Nowe,5107180,29,PL
Bytom,5107230,29,PL
Katowice,5107331,29,PL
Katowice,5107331,29,PL
Mysłowice,5107350,29,PL
Tychy,5107370,29,PL
Jaworzno Szczakowa,5107390,29,PL
Olkusz,5107429,29,PL
Dšbrowa Górnicza,5107458,29,PL
Sosnowiec Gł.,5107465,29,PL
Zawiercie,5107530,29,PL
Zebrzydowice,5107550,29,PL
Zebrzydowice(Gr),5107555,17,PL
Zebrzydowice(Gr),5107555,17,PL
Cieszyn,5107565,29,PL
Zabrzeg,5107573,29,PL
Skoczów,5107578,29,PL
Chybie,5107579,29,PL
Pszczyna,5107590,29,PL
Czechowice Dziedz.,5107600,29,PL
Bielsko Biała Gł.,5107610,29,PL
Żywiec,5107660,29,PL
Zwardoń,5107686,29,PL
Goleszów,5107690,29,PL
Ustroń,5107695,29,PL
Wisła Uzdrowisko,5107699,29,PL
Wisła Głębce,5107704,29,PL
Owięcim,5107710,29,PL
Trzebinia,5107750,29,PL
Spytkowice,5107800,29,PL
Zator,5107811,29,PL
Wadowice,5107820,29,PL
Sucha Beskidzka,5107840,29,PL
Chabówka,5107870,29,PL
Nowy Targ,5107890,29,PL
Zakopane,5107902,29,PL
Miechow,5107946,29,PL
Bochnia,5107965,29,PL
Kraków Płaszów,5107990,29,PL
Skawina,5108010,29,PL
Wieliczka,5108044,29,PL
Tarnów,5108063,29,PL
Tuchów,5108098,29,PL
Bobowa Miasto,5108112,29,PL
Dębica,5108120,29,PL
Stróże,5108160,29,PL
Grybów,5108167,29,PL
Nowy Sšcz,5108190,29,PL
Stary Sšcz,5108203,29,PL
Rytro,5108207,29,PL
Piwniczna Zdrój,5108209,29,PL
Muszyna,5108240,29,PL
Leluchów,5108242,29,PL
Krynica,5108248,29,PL
Żegiestów,5108252,29,PL
Żegiestów Zdrój,5108255,29,PL
Rzeszów,5108266,29,PL
Łańcut,5108302,29,PL
Przeworsk,5108310,29,PL
Jarosław,5108326,29,PL
Tarnowiec,5108336,29,PL
Gliniczek,5108337,29,PL
Jedlicze,5108339,29,PL
Jasło,5108341,29,PL
Krosno,5108350,29,PL
Targowiska,5108354,29,PL
Widacz,5108357,29,PL
Wróblik Szlach.,5108358,29,PL
Sanok,5108360,29,PL
Nowosielce,5108365,29,PL
Długie,5108366,29,PL
Besko,5108367,29,PL
Milcza,5108368,29,PL
Zarszyn,5108372,29,PL
Zagórz,5108375,29,PL
Łupków(Gr),5108377,17,PL
Nowy Zagórz,5108378,29,PL
Załuż,5108383,29,PL
Lesko ukawica,5108384,29,PL
Jankowce,5108385,29,PL
Uherce Tunel,5108386,29,PL
Ustianowa,5108387,29,PL
Uherce,5108392,29,PL
Olszanica,5108393,29,PL
Ustrzyki Dolne,5108394,29,PL
Krocienko,5108395,29,PL
Starzhava(Gr),5108396,29,PL
Rzepedz,5108409,29,PL
Komacza,5108412,29,PL
Nowy Łupków,5108417,29,PL
Przemyl Gł.,5108440,29,PL
Medyka(Gr),5108455,17,PL
Mršgowo,5130946,29,PL
Zduńska Wola.,51F0002,33,PL
Toruń,51F0003,33,PL
Warszawa,51F0004,33,PL
Wałbrzych,51F0006,33,PL
Kłodzko,51F0007,33,PL
Stalowa Wola.,51F0008,33,PL
Wisła,51F0009,33,PL
Kraków,51F0010,33,PL
Any polish stations,51F0011,33,PL
Kraków Gł.,51G0002,29,PL
Wrocław Gł.,51G0009,29,PL
Wroclaw Gl.,51G0009,33,PL
Russe(Gr),5200971,17,BG
Ðakovo,5256023,29,HR
Priboj,5265001,29,RS
Vidin(Gr),5272050,29,BG
Jimbolia(fr),5300660,17,RO
Jimbolia(fr),5300660,17,RO
Halmeu(Gr),5300930,17,RO
Teresva(Gr),5300931,29,RO
Berlebash(Gr),5300934,29,RO
Vicsani(Gr),5300935,29,RO
Ungheni(Gr),5300936,17,RO
Prut(Gr),5300937,17,RO
Curtici(Gr),5300946,17,RO
Curtici(Gr),5300946,17,RO
Kardam(Gr),5300970,29,RO
Bucuresti Nord,5310017,33,RO
Videle,5310287,29,RO
Rosiori Nord,5310445,29,RO
Caracal,5310574,29,RO
Craiova,5310770,29,RO
Filiasi,5310902,29,RO
Strehaia Halta,5310988,29,RO
Drobeta Turnu Severin,5311140,29,RO
Orsova,5311231,29,RO
Baile Herculane,5311308,29,RO
Caransebes,5311554,29,RO
Lugoj,5311695,29,RO
Recas,5311803,29,RO
Timisoara Nord,5311906,29,RO
Titu,5312431,29,RO
Pitesti,5312613,29,RO
Slatina,5312895,29,RO
Pietrosita,5313332,29,RO
Campulung,5313514,29,RO
Curtea de Arges,5313667,29,RO
Giurgiu Nord,5314037,29,RO
Giurgiu,5314049,29,RO
Turnu Magurele,5314427,29,RO
Alexandria,5314518,29,RO
Zimnicea,5314623,29,RO
Falciu,5314702,29,RO
Corabia,5314855,29,RO
Golenti,5315134,29,RO
Calafat,5315172,29,RO
Buzias,5315756,29,RO
Resita Nord,5316205,29,RO
Stamora Moravita,5316645,29,RO
Oravita,5316841,29,RO
Anina,5317015,29,RO
Codlea,5320050,29,RO
Fagaras,5320232,29,RO
Ucea,5320311,29,RO
Sibiu,5320658,29,RO
Sebes Alba,5320971,29,RO
Vintu de Jos,5321028,29,RO
Sibot,5321092,29,RO
Simeria,5321236,29,RO
Deva,5321286,29,RO
Ilia,5321406,29,RO
Radna,5321705,29,RO
Arad,5321834,29,RO
Curtici,5321925,29,RO
Ramnicu Valcea,5322436,29,RO
Alba Iulia,5323038,29,RO
Cugir,5323129,29,RO
Targu Jiu,5323428,29,RO
Petrosani,5323624,29,RO
Hunedoara,5324783,29,RO
Remetea Mica,5325177,29,RO
Ploiesti Vest,5330304,33,RO
Campina,5330421,29,RO
Sinaia,5330524,29,RO
Busteni,5330548,29,RO
Azuga,5330550,29,RO
Predeal,5330615,29,RO
Brasov,5330691,29,RO
Sighisoara,5331217,29,RO
Medias,5331334,29,RO
Blaj,5331530,29,RO
Teius,5331645,29,RO
Aiud,5331695,29,RO
Razboieni,5331774,29,RO
Campia Turzii,5331827,29,RO
Apahida,5331944,29,RO
Cluj Napoca,5332015,29,RO
Huedin,5332261,29,RO
Ciucea,5332326,29,RO
Alesd,5332508,29,RO
Oradea,5332663,29,RO
Episcopia Bihor,5332742,29,RO
Odorhei,5333605,29,RO
Seica Mare,5333801,29,RO
Salonta,5335407,29,RO
Sfantu Gheorghe,5340139,29,RO
Baile Tusnad,5340256,29,RO
Miercurea Ciuc,5340373,29,RO
Siculeni,5340402,29,RO
Izvoru Oltului,5340490,29,RO
Gheorgheni,5340579,29,RO
Toplita,5340684,29,RO
Deda,5340830,29,RO
Saratel,5340971,29,RO
Beclean pe Somes,5341054,29,RO
Dej Calatori,5341195,29,RO
Jibou,5341444,29,RO
Baia Mare,5341638,29,RO
Seini,5341822,29,RO
Reghin,5342474,29,RO
Targu Mures,5342606,29,RO
Iernut,5342747,29,RO
Ludus,5342814,29,RO
Bistrita Nord,5342967,29,RO
Salva,5343466,29,RO
Viseu de Jos,5343612,29,RO
Valea Viseului,5343703,29,RO
Sighetu Marmatiei,5343820,29,RO
Gherla,5344094,29,RO
Zalau Nord,5344240,29,RO
Diosig,5345048,29,RO
Sacuieni Bihor,5345086,29,RO
Valea lui Mihai,5345153,29,RO
Carei,5345323,29,RO
Satu Mare,5345452,29,RO
Halmeu,5345531,29,RO
Ploiesti Sud,5350017,29,RO
Buzau,5350342,29,RO
Ramnicu Sarat,5350433,29,RO
Focsani,5350603,29,RO
Marasesti,5350691,29,RO
Adjud,5350811,29,RO
Bacau,5351059,29,RO
Roman,5351190,29,RO
Pascani,5351358,29,RO
Suceava Nord,5351645,29,RO
Dornesti,5351750,29,RO
Vicsani,5351798,29,RO
Onesti,5353007,29,RO
Piatra Neamt,5353813,29,RO
Bicaz,5353916,29,RO
Botosani,5354233,29,RO
Vatra Dornei,5354817,29,RO
Cacica,5355287,29,RO
Targu Neamt,5356152,29,RO
Tecuci,5360309,29,RO
Barlad,5360490,29,RO
Vaslui,5360658,29,RO
Nicolina,5360878,29,RO
Iasi,5360921,29,RO
Cristesti Jijia,5361080,29,RO
Ungheni Prut,5361092,29,RO
Urziceni,5370237,29,RO
Faurei,5370512,29,RO
Braila,5370706,29,RO
Galati,5371059,29,RO
Bucuresti Baneasa,5380036,29,RO
Fetesti,5380505,29,RO
Medgidia,5380684,29,RO
Constanta,5380892,29,RO
Mangalia,5381183,29,RO
Calarasi Sud,5382204,29,RO
Negru Voda,5382620,29,RO
Tulcea Oras,5383222,29,RO
Resita Sud,53F0002,33,RO
Suceava,53F0004,33,RO
Any romanian stations,53F0005,33,RO
Jimbolia,53G0001,29,RO
Targoviste,53G0008,29,RO
Bohumin(Gr),5430024,17,CZ
Bohumín(Gr),5430024,17,CZ
Glucholazy(Gr),5430042,29,CZ
Breclav(Gr),5430055,17,CZ
Breclav(Gr),5430055,17,CZ
Cadca(Gr),5430084,29,CZ
Horní Lideè(Gr),5430092,17,CZ
Horní Lideč(Gr),5430092,17,CZ
Bludov,5433042,29,CZ
Blansko,5433095,29,CZ
Bruntál,5433162,29,CZ
Dìtmarovice,5433274,29,CZ
Brno hlavní nádraží,5433295,33,CZ
Brno-Královo Pole,5433315,29,CZ
Frenštát pod Radhoštìm,5433324,29,CZ
Frýdek-Místek,5433344,29,CZ
Frýdlant nad Ostravicí,5433354,29,CZ
Fulnek,5433404,29,CZ
Brumov,5433405,29,CZ
Breclav,5433425,29,CZ
Havíøov,5433454,29,CZ
Bylnice,5433535,29,CZ
Hanušovice,5433542,29,CZ
Bzenec,5433615,29,CZ
Návsí,5433624,29,CZ
Horní Lideè,5433652,29,CZ
Horni Lidee/Eadca(Gr),5433652,17,CZ
Karviná,5433674,29,CZ
Kopøivnice,5433704,29,CZ
Hranice na Moravì,5433722,33,CZ
Hranice na Moravì mìsto,5433732,29,CZ
Zlín,5433755,29,CZ
Hodonín,5433845,29,CZ
Jeseník,5433892,29,CZ
Krnov,5433904,29,CZ
Hrušovany nad Jevišovkou,5433925,29,CZ
Hulín,5433985,29,CZ
Lipová Láznì,5434052,29,CZ
Mosty u Jablunkova,5434104,29,CZ
Bohumín,5434124,29,CZ
Nový Jièín mìsto,5434144,29,CZ
Opava,5434194,29,CZ
Jihlava,5434215,29,CZ
Mikulovice,5434232,29,CZ
Kojetín,5434306,29,CZ
Olomouc,5434362,29,CZ
Ostrava hlavní nádraží,5434364,33,CZ
Ostrava-Kunèice,5434414,29,CZ
Ostrava-Svinov,5434434,29,CZ
Ostravice,5434464,29,CZ
Ostružná,5434472,29,CZ
Kromìøíž,5434475,29,CZ
Ramzová,5434482,29,CZ
Petrovice u Karviné,5434524,29,CZ
Píseèná,5434562,29,CZ
Èeská Ves,5434572,29,CZ
Køižanov,5434575,29,CZ
Kunovice,5434595,29,CZ
Pøerov,5434662,29,CZ
Kyjov,5434675,29,CZ
Studénka,5434694,29,CZ
Lanžhot,5434695,29,CZ
Letovice,5434725,29,CZ
Luhaèovice,5434755,29,CZ
Rožnov pod Radhoštìm,5434782,29,CZ
Suchdol nad Odrou,5434804,29,CZ
Mikulov na Moravì,5434855,29,CZ
Tøemešná ve Slezsku,5434894,29,CZ
Tøinec,5434924,29,CZ
Šumperk,5434972,29,CZ
Moravské Budìjovice,5435005,29,CZ
Ostrava-Vítkovice,5435044,29,CZ
Moravský Krumlov,5435105,29,CZ
Moravský Písek,5435125,29,CZ
Valašské Meziøíèí,5435162,29,CZ
Nezamyslice,5435285,29,CZ
Vsetín,5435442,29,CZ
Zábøeh na Moravì,5435502,29,CZ
Otrokovice,5435575,29,CZ
Prostìjov,5435705,29,CZ
Pøibyslav,5435737,29,CZ
Rohatec,5435875,29,CZ
Skalice nad Svitavou,5435985,29,CZ
Slavièín,5436075,29,CZ
Staré Mìsto u Uherského Hradištì,5436145,29,CZ
Šatov,5436275,29,CZ
Tišnov,5436395,29,CZ
Tøebíè,5436555,29,CZ
Uherské Hradištì,5436575,29,CZ
Uherský Brod,5436585,29,CZ
Valtice,5436655,29,CZ
Veselí nad Moravou,5436795,29,CZ
Vyškov na Moravì,5436895,29,CZ
Zajeèí,5436905,29,CZ
Znojmo,5436955,29,CZ
Žïár nad Sázavou,5437015,29,CZ
Sudomìøice nad Moravou,5437085,29,CZ
Strážnice,5437095,29,CZ
Velká nad Velièkou,5437145,29,CZ
Vlárský prùsmyk,5437185,29,CZ
Vejprty(Gr),5450399,17,CZ
Lichkov(Gr),5450440,17,CZ
Lichkov(Gr),5450440,17,CZ
Praha Airport,5451206,29,CZ
Mìlník,5453018,29,CZ
Chlumec nad Cidlinou,5453050,29,CZ
Lysá nad Labem,5453114,29,CZ
Hradec Králové,5453120,29,CZ
Ústí nad Labem západ,5453159,29,CZ
Ústí nad Labem hlavní nádraží,5453179,33,CZ
Týništì nad Orlicí,5453180,29,CZ
Karlštejn,5453186,29,CZ
Èastolovice,5453200,29,CZ
Nymburk,5453214,29,CZ
Podìbrady,5453234,29,CZ
Kostelec nad Orlicí,5453240,29,CZ
Bohosudov,5453279,29,CZ
Teplice v Èechách,5453289,29,CZ
Letohrad,5453330,29,CZ
Duchcov,5453339,29,CZ
Most,5453399,29,CZ
Kolín,5453414,29,CZ
Lichkov,5453430,17,CZ
Chomutov,5453489,29,CZ
Chomutov mìsto,5453509,29,CZ
Kladno,5453516,29,CZ
Klášterec nad Ohøí,5453519,29,CZ
Pardubice,5453613,29,CZ
Mezimìstí,5453710,29,CZ
Teplice nad Metují,5453770,29,CZ
Žatec,5453779,29,CZ
Kadaò-Prunéøov,5453799,29,CZ
Slaný,5453806,29,CZ
Choceò,5453813,29,CZ
Hronov,5453820,29,CZ
Náchod,5453840,29,CZ
Ústí nad Orlicí,5453863,29,CZ
Vejprty,5453949,29,CZ
Kutná Hora,5454014,29,CZ
Jirkov zastávka,5454019,29,CZ
Golèùv Jeníkov mìsto,5454093,29,CZ
Rychnov nad Knìžnou,5454110,29,CZ
Svìtlá nad Sázavou,5454133,29,CZ
Liberec,5454212,29,CZ
Havlíèkùv Brod,5454213,29,CZ
Moldava v Krušných horách,5454229,29,CZ
Roudnice nad Labem,5454257,29,CZ
Turnov,5454300,29,CZ
Svitavy,5454333,29,CZ
Bakov nad Jizerou,5454361,29,CZ
Kralupy nad Vltavou,5454396,29,CZ
Mladá Boleslav,5454451,29,CZ
Louny,5454599,29,CZ
Frýdlant v Èechách,5454652,29,CZ
Chrudim,5454653,29,CZ
Neratovice,5454686,29,CZ
Raspenava,5454812,29,CZ
Bílina,5454819,29,CZ
Hejnice,5454832,29,CZ
Hlinsko v Èechách,5454853,29,CZ
Postoloprty,5454909,29,CZ
Harrachov,5454922,29,CZ
Tanvald,5454952,29,CZ
Smržovka,5455022,29,CZ
Josefùv Dùl,5455032,29,CZ
Jablonec nad Nisou,5455092,29,CZ
Benešov u Prahy,5455106,29,CZ
Olbramovice,5455136,29,CZ
Litomyšl,5455213,29,CZ
Jièín,5455420,29,CZ
Ostromìø,5455540,29,CZ
Dìèín-Prostøední Žleb,5455609,29,CZ
Dìèín-Èertova Voda,5455619,29,CZ
Dìèín-Pøípeø,5455629,29,CZ
Dolní Žleb,5455639,29,CZ
Dolní Žleb zastávka,5455649,29,CZ
Dìèín,5455659,29,CZ
Lovosice,5455859,29,CZ
Bohušovice nad Ohøí,5455909,29,CZ
Benešov nad Plouènicí,5456209,29,CZ
Køinec,5456261,29,CZ
Èeská Kamenice,5456299,29,CZ
Kopidlno,5456300,29,CZ
Rumburk,5456459,29,CZ
Láznì Bìlohrad,5456480,29,CZ
Panský,5456489,29,CZ
Dolní Poustevna,5456529,29,CZ
Železný Brod,5456582,29,CZ
Šluknov,5456619,29,CZ
Stará Paka,5456640,29,CZ
Krásná Lípa,5456659,29,CZ
Rybništì,5456719,29,CZ
Dvùr Králové nad Labem,5456740,29,CZ
Chøibská,5456749,29,CZ
Jedlová,5456759,29,CZ
Jaromìø,5456770,29,CZ
Nový Bor,5456789,29,CZ
Èeská Lípa,5456849,29,CZ
Doksy,5456859,29,CZ
Bìlá pod Bezdìzem,5456898,29,CZ
Martinice v Krkonoších,5456930,29,CZ
Litomìøice,5457019,29,CZ
Trutnov,5457020,29,CZ
Praha hlavní nádraží,5457076,33,CZ
Rokytnice nad Jizerou,5457110,29,CZ
Praha-Libeò,5457176,29,CZ
Vrchlabí,5457200,29,CZ
PRAHA SMICHOV,5457226,29,CZ
