8040430|Ehringshausen (TGem)|000000N|000000E|DE
8040433|Sinn (TGem)|000000N|000000E|DE
8040435|Biedenkopf (TGem)|000000N|000000E|DE
8040436|Cölbe (TGem)|000000N|000000E|DE
8040437|Dautphetal (TGem)|000000N|000000E|DE
8040439|Lahntal (TGem)|000000N|000000E|DE
8040441|Weimar(Lahn) (TGem)|000000N|000000E|DE
8040443|Betzdorf (TGem)|000000N|000000E|DE
8040445|Hamm(Sieg) (TGem)|000000N|000000E|DE
8040446|Herdorf (TGem)|000000N|000000E|DE
8040447|Kirchen(Sieg) (TGem)|000000N|000000E|DE
8040464|Borken(Hes.) (TGem)|000000N|000000E|DE
8040465|Edermünde (TGem)|000000N|000000E|DE
8040468|Neuental (TGem)|000000N|000000E|DE
8040469|Neust.(Hes.) (TGem)|000000N|000000E|DE
8040470|Stadtallend. (TGem)|000000N|000000E|DE
8040510|Venlo(Gem)|000000N|000000E|DE
8040529|Landgraaf(Gem)|000000N|000000E|DE
8040533|Heerlen(Gem)|000000N|000000E|DE
8040534|Kerkrade(Gem)|000000N|000000E|DE
8040554|Zevenaar(Gem)|000000N|000000E|DE
8040555|Duiven(TGem)|000000N|000000E|DE
8040556|Arnhem(Gem)|000000N|000000E|DE
8040557|Westervoort(TGem)|000000N|000000E|DE
8040560|Enschede(Gem)|000000N|000000E|DE
8053664|Leutershausen-Wieder|000000N|000000E|DE
8055426|Schopfheim-Schlattho|000000N|000000E|DE
8070785|Porschdorf (Kr. Pirn|000000N|000000E|DE
8071705|Burkhardtsdorf Spark|000000N|000000E|DE
8072171|Ellefeld Alte Auerba|000000N|000000E|DE
8076133|Bielefeld-Quelle Alb|000000N|000000E|DE
8079716|Cottbus-Merzdorf Ind|000000N|000000E|DE
8079724|Falkensee ZOB|000000N|000000E|DE
8079725|Finkenheerd Lindenst|000000N|000000E|DE
8079728|Gnevkow Wendeschleif|000000N|000000E|DE
8079729|Graal-Müritz Süd|000000N|000000E|DE
8079736|Jatznick Gemeindever|000000N|000000E|DE
8079746|Luckaitztal Buchwäld|000000N|000000E|DE
8079753|Pasewalk Torgelower|000000N|000000E|DE
8079756|Prösen Ost B101|000000N|000000E|DE
8089117|Berlin-Hohenschönhau|000000N|000000E|DE
8089143|Marquardt Schule|48.152291|8.446608|DE
8089205|Bernau (S)|47.7651677|8.1255001|DE
8150216|Baumgarten|48.3227898|13.9146901|AT
8171019|Mauthausen O\ Vormar|000000N|000000E|AT
8171025|Aisthofen Ortsmitte|000000N|000000E|AT
8171031|Perg Hauptplatz|48.267737|14.7087633|AT
8171061|Baumgartenberg Ortsm|000000N|000000E|AT
8171162|Grein-Bad Kreuzen Ba|000000N|000000E|AT
8171333|Saxen Friedhof (B3)|000000N|000000E|AT
8172178|St.Georgen am Steinf|48.3582031|14.8999406|AT
8172262|Lochau Bahnhof (Vorp|000000N|000000E|AT
8174058|Rohrbach/Gölsen Orts|000000N|000000E|AT
8174059|Rainfeld/Gölsen Orts|000000N|000000E|AT
8174063|Wiesenfeld/Gölsen Ab|000000N|000000E|AT
8174275|Gopperding Abzw Bahn|000000N|000000E|AT
8174349|Maria Lanzendorf Hau|000000N|000000E|AT
8175189|Oberland O\ Forsterw|000000N|000000E|AT
8175477|Pyburg Bahnhst (Bund|000000N|000000E|AT
8175482|Ennsdorf Bahnhst (Bu|000000N|000000E|AT
8176427|Möllersdorf Aspangba|000000N|000000E|AT
8187025|Oberhofen-Zell am Mo|000000N|000000E|AT
