8102033| Dornbirn Landessportzentrum|472458N|094320E|9|6850|AT
8102037| Dornbirn Steggasse|472446N|094334E|9|6850|AT
8102040| Dornbirn, Schoren Bahnhof|472446N|094334E|9|6850|AT
8105724| Lustenau Philipp-Krapf-Straße|472431N|093922E|9|6890|AT
8113092| Nauders Mühle|465317N|103005E|9|6543|AT
8152486| Nauders Bergkastelbahn|465232N|103025E|9|6543|AT
8171930| Lustenau Flurstraße|472445N|093936E|9|6890|AT
8171931| Lustenau, Pestalozziweg|472455N|093937E|9|6890|AT
8171939| Lustenau Holzstraße|472508N|093944E|9|6890|AT
8172070| Stockerau Bahnhof (Vorplatz)|482257N|161247E|9|2000|AT
8172262| Lochau Bahnhof (Vorplatz)|473148N|094432E|9|6911|AT
8173310| Hohenems Gutenbergstraße|472153N|094052E|9|6845|AT
8175193| Gaflenz Pettendorf|475337N|144325E|9|3334|AT
8179848| Dornbirn Messekreuzung|472446N|094246E|9|6850|AT
8505484| Cevio, Centro|461901N|083608E|9|6675|CH
8530462| Lugano Stazione TPL|460018N|085649E|9|6900|CH
8530827| Muralto Belvedere|461023N|084746E|9|6600|CH
8530828| Orselina Santuario|461008N|084701E|9|6644|CH
8583828| Churwalden, Bergbahnen|464640N|093237E|9|7075|CH
8583869| Russikon, Dorf|472306N|084500E|9|8320|CH
8583870| Birmensdorf ZH, Bahnhof Süd|472126N|082615E|9|8903|CH
8594772| Bussnang, Gemeindehaus|473326N|090501E|9|9565|CH
8595496| Lugano, Cà Rezzonico|460106N|085715E|9|6900|CH
8595947| Buchs SG, Bahnhof Nord|471007N|092840E|9|9470|CH
