AMA|0460457|en|Walkmühlweg, Feucht|Walkmühlweg, Feucht
AMA|0460722|en|Breslauer Str., Utte|Breslauer Str., Utt
AMA|0460723|en|Marloffsteiner Str.,|Marloffsteiner Str.
AMA|0460724|en|Weiher, Uttenreuth|Weiher, Uttenreuth
AMA|0460730|en|Busbahnhof, Neunkirc|Busbahnhof, Neunkir
AMA|0460734|en|Eschenau Apotheke, E|Eschenau Apotheke,
AMA|0460862|en|Berufsschule, Herzog|Berufsschule, Herzo
AMA|0461295|en|Bahnhof, Hollfeld|Bahnhof, Hollfeld
AMA|0461375|en|Abzw. Wadendorf, Pla|Abzw. Wadendorf, Pl
AMA|0461495|en|Rappersdorf Ortsmitt|Rappersdorf Ortsmit
AMA|0461551|en|Neumarkter Straße,|Neumarkter Straße,
AMA|0461855|en|Marktplatz, Ebrach|Marktplatz, Ebrach
AMA|0465295|en|Bahnhof, Plankenfels|Bahnhof, Plankenfel
AMA|0466359|en|Bäckerei, Riedenber|Bäckerei, Riedenber
AMA|0467959|en|Fachklinik, Herzogen|Fachklinik, Herzoge
AMA|0468255|en|Neumarkter Tor, Berc|Neumarkter Tor, Ber
AMA|0468319|en|Lindenstr., Dombühl|Lindenstr., Dombüh
AMA|0469055|en|Cronheim Schloss, Gu|Cronheim Schloss, G
AMA|0470327|en|Abzw. Niederhausen,|Abzw. Niederhausen,
AMA|0473295|en|Plankstetten Abtei,|Plankstetten Abtei,
AMA|0476255|en|Rathaus, Bischofsgr|Rathaus, Bischofsgr
AMA|0477055|en|Marktplatz, Dachsbac|Marktplatz, Dachsba
AMA|0479927|en|Stambach Gh Stöckle|Stambach Gh Stöckle
AMA|0483029|en|Zentrum, Wilnsdorf|Zentrum, Wilnsdorf
AMA|0483455|en|Marktplatz, Isny im|Marktplatz, Isny im
AMA|0490151|en|Rengers (L318), Isny|Rengers (L318), Isn
AMA|0490389|en|Rathaus, Bisingen|Rathaus, Bisingen
AMA|0492140|en|Eisenharz Eglofser S|Eisenharz Eglofser
AMA|0492287|en|Einkaufszentrum, Nag|Einkaufszentrum, Na
AMA|0492495|en|Rathaus, Heinersreut|Rathaus, Heinersreu
AMA|0492771|en|Bahnhofstr., Beimers|Bahnhofstr., Beimer
AMA|0493281|en|Eisenharz Ort, Argen|Eisenharz Ort, Arge
AMA|0493282|en|Gaischachen Geray, A|Gaischachen Geray,
AMA|0494181|en|Vorstadt Adler, Isny|Vorstadt Adler, Isn
AMA|0494190|en|Bolsternang Gasthof,|Bolsternang Gasthof
AMA|0494232|en|Schule, Grünenbach|Schule, Grünenbac
AMA|0496495|en|Obernsees Staatsstra|Obernsees Staatsstr
AMA|0496655|en|Krichelnweg, Staufen|Krichelnweg, Staufe
AMA|0498181|en|Klengen Bahnhofstra|Klengen Bahnhofstra
AMA|0498277|en|Bahnhof (Bus), Geisi|Bahnhof (Bus), Geis
AMA|0498402|en|Stadtkirche, Furtwan|Stadtkirche, Furtwa
AMA|0498418|en|Grundbächle, Schona|Grundbächle, Schona
AMA|0498505|en|Bahnhof, Buggingen|Bahnhof, Buggingen
AMA|0498546|en|Bahnhof, Neuenburg a|Bahnhof, Neuenburg
AMA|0498577|en|Industriepark Ost/DA|Industriepark Ost/D
AMA|0498895|en|Bahnhof, Scheßlitz|Bahnhof, Scheßlit
AMA|0499483|en|Haltingen Zentrum, W|Haltingen Zentrum,
AMA|0499545|en|Istein Rathaus, Efri|Istein Rathaus, Efr
AMA|0499551|en|Markushof, Bad Belli|Markushof, Bad Bell
AMA|0499573|en|Rathaus, Weil am Rhe|Rathaus, Weil am Rh
AMA|0499577|en|Jechtingen Ortschaft|Jechtingen Ortschaf
AMA|0499589|en|Evangelische Kirche,|Evangelische Kirche
AMA|0499595|en|Moosmatt, Badenweile|Moosmatt, Badenweil
AMA|0499608|en|Parkplatz West, Bade|Parkplatz West, Bad
AMA|0499640|en|Vitteler Platz, Bade|Vitteler Platz, Bad
AMA|0499644|en|Oberweiler, Badenwei|Oberweiler, Badenwe
AMA|0499647|en|Sportbad, Badenweile|Sportbad, Badenweil
AMA|0499660|en|Wohn-Schick, Rottwei|Wohn-Schick, Rottwe
AMA|0499699|en|Lehrstraße, Rottwei|Lehrstraße, Rottwei
AMA|0500001|en|Hauptbahnhof ZOB, Fr|Hauptbahnhof ZOB, F
AMA|0500045|en|Wasenweiler Sonne, I|Wasenweiler Sonne,
AMA|0500046|en|Winzerstube, Ihringe|Winzerstube, Ihring
AMA|0500047|en|Stockbrunnen, Ihring|Stockbrunnen, Ihrin
AMA|0500077|en|Mundingen B3, Emmend|Mundingen B3, Emmen
AMA|0500145|en|Buchholz Kirche, Wal|Buchholz Kirche, Wa
AMA|0500189|en|Niederwinden Schule,|Niederwinden Schule
AMA|0500230|en|Wolfenweiler B3, Sch|Wolfenweiler B3, Sc
AMA|0500235|en|Buchholz Vogesenstra|Buchholz Vogesenstr
AMA|0500251|en|Oberwinden Adler, Wi|Oberwinden Adler, W
AMA|0500355|en|Im Grün, Bad Krozin|Im Grün, Bad Krozin
AMA|0500394|en|Ilbenstraße, Furtwa|Ilbenstraße, Furtwa
AMA|0500640|en|Bonnevilleplatz, Sta|Bonnevilleplatz, St
AMA|0500729|en|Kur Stift, Bad Dürr|Kur Stift, Bad Dürr
AMA|0500730|en|Adlerplatz II, Bad D|Adlerplatz II, Bad
AMA|0500785|en|Klengen Hauptstraße|Klengen Hauptstraße
AMA|0500787|en|Kirchdorf Apotheke,|Kirchdorf Apotheke,
AMA|0500846|en|Bahnhof, St. Georgen|Bahnhof, St. George
AMA|0500857|en|Frejusstraße/Abzw.|Frejusstraße/Abzw.
AMA|0500865|en|Haus des Gastes, Sch|Haus des Gastes, Sc
AMA|0500872|en|Auf'm Bühl, Schönw|Auf'm Bühl, Schön
AMA|0500877|en|Arche, Furtwangen im|Arche, Furtwangen i
AMA|0500946|en|Schiltachstraße, Sc|Schiltachstraße, Sc
AMA|0500961|en|Balgheim(Württ) Tut|Balgheim(Württ) Tut
AMA|0500967|en|Untere Hauptstraße,|Untere Hauptstraße
AMA|0501013|en|Sulgen Rose, Schramb|Sulgen Rose, Schram
AMA|0501014|en|Hans Sachs, Schrambe|Hans Sachs, Schramb
AMA|0501015|en|HAU, Schramberg|HAU, Schramberg
AMA|0501016|en|Paradiesplatz, Schra|Paradiesplatz, Schr
AMA|0501021|en|Schloss, Schramberg|Schloss, Schramberg
AMA|0501027|en|Realschule, Schrambe|Realschule, Schramb
AMA|0501034|en|Grüner Baum, Schram|Grüner Baum, Schram
AMA|0501070|en|Sulgen Berufsschule,|Sulgen Berufsschule
AMA|0501114|en|Kläranlage, Schramb|Kläranlage, Schramb
AMA|0501138|en|Sulgen Heuwies, Schr|Sulgen Heuwies, Sch
AMA|0501178|en|Gymnasium, Schramber|Gymnasium, Schrambe
AMA|0501188|en|Landratsamt, Rottwei|Landratsamt, Rottwe
AMA|0501216|en|Friedrichschule, Fur|Friedrichschule, Fu
AMA|0501275|en|Allmendstraße, Furt|Allmendstraße, Furt
AMA|0501340|en|Busbahnhof, Schrambe|Busbahnhof, Schramb
AMA|0501380|en|Bietingen Dorfstraß|Bietingen Dorfstraß
AMA|0501381|en|Böhringen Kirche, R|Böhringen Kirche, R
AMA|0501412|en|Rielasinger Str., Si|Rielasinger Str., S
AMA|0501448|en|Bahnhof, Mühlheim a|Bahnhof, Mühlheim a
AMA|0501455|en|ZOB, Radolfzell am B|ZOB, Radolfzell am
